epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
49,2.83436079,2.22503952,1.79331088,0.66730192,0.3703198,0.39343474,0.41152296,0.41197692,0.42258711,0.39801212
50,2.82400521,2.20887224,1.77297488,0.63724933,0.35106483,0.37765195,0.39954711,0.40218445,0.41304893,0.39313817
51,2.81608587,2.18378148,1.74280721,0.61684827,0.33332449,0.36743834,0.377619,0.38680357,0.38729543,0.38003886
52,2.80339005,2.16619874,1.73138082,0.58620963,0.3178226,0.34928042,0.37067916,0.37280427,0.38042647,0.36301429
53,2.78957689,2.1550108,1.7104029,0.56306556,0.30531903,0.3420524,0.35712616,0.35783194,0.3642366,0.34686073
54,2.79720137,2.14122829,1.69577463,0.54917552,0.30370026,0.33284097,0.34897471,0.34901991,0.35104608,0.35312856
55,2.77986402,2.13401439,1.67801013,0.51934168,0.29543356,0.3216554,0.33342197,0.33235894,0.34246516,0.32489499
56,2.7706095,2.10869771,1.66483717,0.50065949,0.27548441,0.31089759,0.32252539,0.33174709,0.3262539,0.31954934
57,2.75207285,2.0888342,1.6379427,0.47520197,0.26019711,0.29310699,0.31320425,0.30829076,0.31335993,0.30269833
58,2.75397579,2.07481704,1.63046875,0.45726119,0.2606122,0.28578817,0.30038229,0.29295627,0.30914717,0.29451561
59,2.73929965,2.06347997,1.60454601,0.4474553,0.25560672,0.27092956,0.29357396,0.28858864,0.29893354,0.29309626
60,2.73283261,2.04225334,1.59105837,0.43318196,0.24485934,0.26451738,0.29074612,0.28439839,0.29080013,0.28450583
61,2.72312795,2.02827481,1.57336931,0.42031413,0.23869211,0.25610798,0.27459365,0.27057654,0.27826761,0.26626874
62,2.70839357,2.01322539,1.55109583,0.40121541,0.22508743,0.24772644,0.27313477,0.25667384,0.26586332,0.26219089
63,2.70548233,2.00923015,1.54842962,0.39123503,0.22310316,0.23831044,0.25427873,0.25814461,0.26019654,0.25395525
64,2.69310737,1.98771323,1.52213057,0.38137685,0.21724429,0.23386298,0.25455287,0.24238694,0.25289813,0.245849
65,2.69134073,1.97534835,1.51236936,0.36801957,0.20987491,0.22653494,0.24693726,0.24549492,0.24761582,0.23634928
66,2.67937524,1.95944097,1.49182338,0.34784438,0.20468742,0.22215034,0.2394126,0.23881239,0.23796328,0.23169033
67,2.6693417,1.94407293,1.4803633,0.33343986,0.19476102,0.21665789,0.22822698,0.2238997,0.22669568,0.22352163
68,2.66751664,1.93070302,1.45954028,0.32376742,0.19898848,0.20934316,0.22415984,0.2207194,0.22601333,0.22140964
69,2.65391536,1.92511641,1.45199417,0.31241407,0.19020534,0.19903694,0.21145008,0.21683829,0.21610001,0.20984218
70,2.64361898,1.89937226,1.42833698,0.30318884,0.18833908,0.19110019,0.21021564,0.20664857,0.21009173,0.20393917
71,2.63598067,1.89376031,1.4132931,0.29302618,0.19577053,0.18923232,0.20532301,0.19814341,0.20409737,0.20154984
72,2.62841552,1.8781997,1.40020379,0.28489507,0.18491935,0.18465855,0.19877766,0.19606429,0.1950515,0.18900135
73,2.62167371,1.86267778,1.38546442,0.26999204,0.18196391,0.17841427,0.19275024,0.18981373,0.18949005,0.18473419
74,2.61249192,1.85500498,1.36980277,0.26168338,0.1742866,0.17516035,0.18903194,0.18493651,0.18810449,0.18543849
75,2.6061368,1.83223078,1.35154587,0.25192519,0.16566499,0.16663705,0.18066339,0.17607233,0.17913439,0.17594606
76,2.59571338,1.82691088,1.33757734,0.24747107,0.15573059,0.16118239,0.17925845,0.17401794,0.17777445,0.17263384
77,2.58305055,1.81445277,1.3189778,0.24724031,0.15341881,0.16720558,0.17217694,0.16598984,0.17092831,0.16473574
78,2.57826569,1.80226532,1.3046063,0.23635289,0.14934646,0.15498944,0.16604688,0.16779031,0.16657646,0.16756048
79,2.57805736,1.79185332,1.29929693,0.23259035,0.13679428,0.1457546,0.16255114,0.16235826,0.16121088,0.16259402
80,2.57330013,1.78036771,1.28141337,0.22723667,0.13845357,0.14637657,0.15680938,0.1557246,0.15708126,0.15494626
81,2.56281707,1.77097857,1.26629479,0.22116886,0.14151542,0.14641663,0.15257755,0.15056946,0.15299264,0.15439267
82,2.55632234,1.75550368,1.24786351,0.20768934,0.14099768,0.13828552,0.14764057,0.14843495,0.14841427,0.14494845
83,2.54824253,1.74436162,1.23682725,0.19889909,0.13850954,0.13043195,0.14539368,0.14096111,0.14220588,0.1349797
84,2.53937207,1.72591396,1.21873863,0.19471618,0.13116745,0.13230386,0.13828103,0.13906802,0.13838321,0.13400998
85,2.53996819,1.71996497,1.21783842,0.19407422,0.12782471,0.13062835,0.13398096,0.1340356,0.13760831,0.13408105
86,2.52142883,1.70143914,1.19704937,0.18723845,0.12253176,0.12490509,0.13644866,0.13216524,0.1333471,0.13066964
87,2.53054982,1.70101874,1.18633944,0.18387622,0.12420432,0.12022607,0.13378006,0.12654556,0.13372345,0.12623465
88,2.51259269,1.68440343,1.17062608,0.17349411,0.14189406,0.1140686,0.12373283,0.12283104,0.12799082,0.12424363
89,2.5132727,1.67772438,1.15916737,0.1710473,0.13449655,0.11481988,0.12754626,0.12178615,0.12684226,0.12404223
90,2.50359124,1.66937627,1.1455209,0.16560231,0.12539124,0.10978735,0.11768961,0.11604301,0.11878775,0.11910734
91,2.50403988,1.65406382,1.12876978,0.15985573,0.12446479,0.10735572,0.11599397,0.11516022,0.11574402,0.11301828
92,2.48636145,1.64615359,1.11643167,0.16116193,0.12007378,0.10554197,0.11209619,0.11097139,0.11433128,0.11054997
93,2.49437861,1.63660673,1.11085062,0.14865147,0.11821907,0.10265011,0.11106219,0.10851143,0.10956719,0.10477645
94,2.49372874,1.63205543,1.09560467,0.15420793,0.12090739,0.10203715,0.10640002,0.10501939,0.11179283,0.10657199
95,2.47744192,1.61853211,1.07511506,0.14800356,0.11231982,0.09531188,0.10284665,0.10200991,0.10344086,0.10135317
96,2.47529159,1.60561658,1.06277008,0.14853847,0.11030684,0.09477277,0.09720675,0.09623132,0.10061018,0.09823744
97,2.47173611,1.60385364,1.06037313,0.14355928,0.10856194,0.09118732,0.09921146,0.09664786,0.09835833,0.09533359
98,2.46776658,1.59123923,1.04110878,0.1386976,0.10709902,0.08933411,0.09268499,0.09630122,0.09877979,0.08935721
99,2.44545036,1.56930632,1.02774332,0.13082616,0.10424535,0.08611226,0.09117559,0.09157993,0.08631293,0.087347
100,2.45960847,1.56909632,1.01831446,0.12806004,0.10614553,0.08494404,0.09151154,0.08916945,0.09249409,0.08660574
101,2.44954784,1.55260795,1.00366793,0.12209942,0.09989168,0.07873924,0.08572143,0.08448684,0.08803951,0.08439587
102,2.43935493,1.54540292,0.99733223,0.11662648,0.1006364,0.08184807,0.08634617,0.08383367,0.08734662,0.08501119
