epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
49,1.10239631,0.79709055,0.62766161,0.3242275,0.2627766,0.2321161,0.25394961,0.25437591,0.25885012,0.26502162
50,1.09316355,0.79213536,0.62226112,0.31897979,0.26249375,0.23076874,0.2493134,0.25305729,0.25671179,0.26169032
51,1.0870523,0.7880134,0.61722582,0.31004205,0.25441222,0.22680721,0.24314427,0.24273899,0.24808634,0.25625145
52,1.08765621,0.77795243,0.60957699,0.30756986,0.24936579,0.21910226,0.24282898,0.23864879,0.24554454,0.25110214
53,1.08239826,0.77695497,0.60602546,0.3015445,0.24703755,0.22004258,0.23808909,0.24356381,0.24151208,0.24779092
54,1.0768897,0.76633557,0.59870009,0.2964727,0.23778441,0.21005732,0.23120983,0.23389272,0.2322203,0.24316733
55,1.07614004,0.76152824,0.58705722,0.28904823,0.23579419,0.21369184,0.22537456,0.22597627,0.23344941,0.23626997
56,1.07275522,0.75003752,0.5824439,0.28538599,0.23059462,0.20100901,0.22142839,0.22332169,0.2251063,0.23265945
57,1.06147037,0.7448136,0.57728716,0.28329248,0.22895391,0.20019738,0.21466143,0.22281191,0.22218026,0.22864845
58,1.0594853,0.74236723,0.57094324,0.27641927,0.21910814,0.19600896,0.21504763,0.21708693,0.21968832,0.22316281
59,1.05474724,0.73077343,0.56388583,0.27386679,0.21733761,0.19042246,0.20696502,0.21181308,0.21507638,0.21850807
60,1.05187971,0.72704547,0.56394426,0.26612282,0.21320199,0.18275728,0.20585265,0.20249157,0.21143512,0.21794443
61,1.04971347,0.72285841,0.55689737,0.26319282,0.20833057,0.18206983,0.20579551,0.20361862,0.20975034,0.21201015
62,1.04906021,0.71932854,0.55750631,0.26113144,0.20442189,0.17969843,0.19678463,0.19584753,0.20428535,0.20825341
63,1.04652078,0.7187193,0.54989642,0.25200211,0.20079128,0.17424654,0.19630417,0.19605952,0.20119389,0.20284153
64,1.04620989,0.71284331,0.54688425,0.25006545,0.20146002,0.17266916,0.19467112,0.19174973,0.19704955,0.20227748
65,1.03842172,0.70275351,0.54132581,0.24489184,0.19198009,0.16439147,0.18572121,0.18645996,0.19260672,0.19734822
66,1.0362428,0.70532428,0.53633675,0.23787273,0.19152286,0.16545103,0.18533238,0.18678229,0.18888776,0.19454996
67,1.03177965,0.69455902,0.53089873,0.23525217,0.18731753,0.1622645,0.18182794,0.18088652,0.18240527,0.19320057
68,1.03005498,0.69371709,0.5308953,0.23495739,0.18045673,0.16066666,0.17839189,0.18206979,0.18215769,0.1910903
69,1.03036284,0.69203246,0.52433639,0.22925879,0.17793907,0.15370951,0.17273644,0.17626035,0.18011768,0.18355124
70,1.02703141,0.6856362,0.51884383,0.22834734,0.17302312,0.1524258,0.17210774,0.17490746,0.17760251,0.18523065
71,1.02092755,0.68151461,0.5112908,0.21707171,0.17338861,0.14880755,0.16537219,0.16795731,0.17123738,0.17975586
72,1.01997994,0.67614945,0.51146328,0.22095779,0.1683509,0.1476608,0.16486944,0.16630897,0.16604911,0.17850584
73,1.02138628,0.67516644,0.51156925,0.21326495,0.16396224,0.14177246,0.16233927,0.16617531,0.16494733,0.17027535
74,1.01472196,0.66779141,0.50675225,0.20852538,0.16385037,0.14222245,0.15732686,0.16060426,0.15822231,0.16774026
75,1.01156886,0.66544715,0.50030372,0.20852224,0.16224315,0.13734031,0.15420444,0.16188206,0.16086733,0.16586909
76,1.01306305,0.65852659,0.49365879,0.20110337,0.15574923,0.13677377,0.15242774,0.15165577,0.15525411,0.16152382
77,1.00544369,0.65682177,0.49183013,0.20079604,0.1555071,0.13555816,0.15184498,0.15444299,0.15674009,0.16311505
78,0.99882463,0.64692679,0.48810084,0.19490138,0.15089952,0.12963411,0.14593459,0.14824059,0.15147062,0.15507406
