epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
1,4.24157454,4.22719772,4.25739445,4.52232606,4.32592038,4.15783049,4.13990812,4.22947601,4.17049705,4.18803724
2,4.06708956,4.03164219,4.07075224,4.26209732,3.91310705,3.61899001,3.60998411,3.72644759,3.62592739,3.68173022
3,3.9804717,3.94053531,3.92945374,4.0675804,3.5816498,3.24687818,3.25688487,3.41617838,3.28744428,3.32972911
4,3.9083587,3.89206022,3.8677901,3.9127192,3.30964558,3.00130533,2.97465306,3.15230511,3.03208274,3.04480457
5,3.83837252,3.81984779,3.77912041,3.70745301,3.06830093,2.80371704,2.77624248,2.92309933,2.81337082,2.84897787
6,3.79046243,3.74146396,3.66147816,3.47266769,2.87994818,2.65292125,2.64533286,2.76309484,2.65996353,2.69047397
7,3.76280879,3.68492427,3.57617299,3.26113613,2.74496208,2.52636898,2.51789637,2.62384679,2.53298432,2.55433278
8,3.7042923,3.61426084,3.48956157,3.08506247,2.6155794,2.41411461,2.39373821,2.50376141,2.42597401,2.43794636
9,3.67241042,3.56749179,3.42107438,2.95062107,2.50563603,2.31705545,2.2982597,2.40151469,2.33095638,2.33903085
10,3.63910252,3.52004968,3.34880007,2.83373182,2.41195422,2.2231724,2.20835581,2.301678,2.24461991,2.23754497
11,3.62563976,3.47686223,3.29207496,2.73584602,2.31775792,2.15682917,2.12867868,2.23335487,2.16186357,2.16227678
12,3.59954996,3.4149055,3.21259787,2.6244376,2.22697212,2.06226772,2.05313466,2.1328776,2.07429504,2.06531583
13,3.59323317,3.37785286,3.15394708,2.54055707,2.1392276,2.00023587,1.963529,2.0653427,2.00644104,1.99478349
14,3.57748505,3.33702746,3.10437901,2.46503478,2.08271895,1.91878653,1.89662065,1.99443396,1.94209248,1.92075558
15,3.5689009,3.29148399,3.05568532,2.39211413,2.0169073,1.86005165,1.83921562,1.93668633,1.88300521,1.86358182
