epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
49,1.12586904,0.82642204,0.67276674,0.33536504,0.23422139,0.23929206,0.25849556,0.26134229,0.26741887,0.25932249
50,1.12400037,0.81710093,0.66079874,0.33083694,0.23322344,0.23069379,0.25728813,0.25904249,0.25783437,0.25729711
51,1.12121955,0.81564783,0.66175418,0.32666907,0.22549556,0.2229748,0.24905263,0.25391752,0.25823692,0.25208058
52,1.11673906,0.80766819,0.65047866,0.31681027,0.22523911,0.218642,0.24280479,0.247819,0.24942138,0.24922105
53,1.11308881,0.80183848,0.64513679,0.30565944,0.21544707,0.21874143,0.2350291,0.24496112,0.24322168,0.23962886
54,1.11260246,0.79888589,0.64164023,0.30611753,0.21588352,0.21040262,0.23375357,0.2385927,0.2465227,0.23657025
55,1.10586078,0.7926834,0.63037985,0.30020066,0.20722131,0.20852111,0.23067997,0.23636485,0.23942685,0.23473648
56,1.10601615,0.78671764,0.62568669,0.29400997,0.20499172,0.20771174,0.22466172,0.23152083,0.23417474,0.23018974
57,1.09554294,0.78061168,0.6139817,0.28485187,0.19939177,0.19998801,0.21412001,0.22325306,0.22311895,0.2215875
58,1.09787831,0.77324023,0.60915793,0.28382852,0.1925526,0.19246228,0.21959489,0.22154133,0.22026409,0.22054807
59,1.09549402,0.76920999,0.60630674,0.27715151,0.1899742,0.18739029,0.21274278,0.21408621,0.21849851,0.21597249
60,1.0896515,0.76738629,0.60695181,0.27952075,0.18538688,0.18744206,0.20883719,0.2126075,0.21957329,0.2135529
61,1.08813222,0.7629281,0.59997624,0.26675285,0.18490321,0.17948797,0.20467376,0.2093475,0.21413599,0.20929593
62,1.08487396,0.75855248,0.59564893,0.26736076,0.17928723,0.18207794,0.2008665,0.20758846,0.20968129,0.20664849
63,1.08242783,0.75461532,0.59076336,0.26341154,0.17628068,0.17664301,0.19486828,0.20534617,0.20124323,0.20122933
64,1.07662439,0.74467324,0.58607222,0.25688529,0.17297717,0.172505,0.1903008,0.19788235,0.20108175,0.19251556
65,1.07838649,0.74342084,0.57921522,0.25493299,0.16903176,0.17210943,0.19239525,0.19441704,0.19999768,0.1956178
66,1.07341178,0.74326962,0.57710126,0.24789452,0.16444766,0.1629316,0.1855991,0.19317558,0.19269814,0.19036503
67,1.07014306,0.73354418,0.56733257,0.24450288,0.16006977,0.16447027,0.18200044,0.18786376,0.19055057,0.1876916
68,1.06636605,0.73179798,0.57112609,0.24356214,0.1579869,0.15773305,0.18101256,0.18515288,0.19293185,0.18501006
69,1.06802359,0.72988946,0.5658271,0.23535138,0.15445888,0.15480736,0.17363939,0.17684837,0.18496953,0.18202036
70,1.06445801,0.72319087,0.55796785,0.23131242,0.15242386,0.14910137,0.16856551,0.17204833,0.18047028,0.18010515
71,1.06459154,0.72575296,0.55444149,0.22740964,0.1440972,0.1484216,0.16721619,0.17597433,0.17598096,0.17013792
72,1.05848838,0.7149397,0.54992175,0.22225427,0.1427641,0.14406133,0.15962979,0.17175727,0.1721881,0.1675385
73,1.05589076,0.71732843,0.54761981,0.22145185,0.14454966,0.144526,0.15983497,0.165011,0.17184112,0.16956799
74,1.05536337,0.71428939,0.5436482,0.21781559,0.13965596,0.13916396,0.1569036,0.16280711,0.17020642,0.16663378
75,1.04765738,0.70124482,0.53695594,0.21556019,0.13510909,0.1392283,0.15165993,0.16047614,0.16265565,0.16253387
76,1.0489416,0.70574887,0.53354568,0.20741234,0.13428672,0.13210145,0.15148936,0.15647184,0.16362419,0.16101316
77,1.04464886,0.6962838,0.5301224,0.20284824,0.12725712,0.12922189,0.15140154,0.15385472,0.15891998,0.15691376
78,1.04041684,0.6933745,0.52478244,0.20196505,0.12914418,0.12734485,0.14705241,0.15311923,0.16015612,0.15277342
79,1.03522581,0.68669124,0.51989995,0.19554781,0.12313606,0.1235766,0.14132263,0.15004319,0.15261678,0.14911873
80,1.02753123,0.68585534,0.51608032,0.19652155,0.12137329,0.12273403,0.1445065,0.14913833,0.14857336,0.14836059
