epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
49,0.50878049,0.51405777,0.50609222,0.44130275,0.36770626,0.23641296,0.24642472,0.23558817,0.24407144,0.26168944
50,0.50547363,0.50481622,0.50280376,0.4296397,0.3532906,0.23480521,0.23931859,0.22747032,0.24300372,0.26144326
51,0.49586654,0.49852714,0.49435152,0.42412644,0.34780216,0.2238572,0.23136472,0.22321593,0.23593001,0.25321066
52,0.48522393,0.4894371,0.4867374,0.41616564,0.33566995,0.21458054,0.22286117,0.21906028,0.22940629,0.24882807
53,0.47855334,0.48171992,0.47586174,0.40343892,0.33013728,0.2111208,0.21370096,0.21365948,0.22637318,0.24247769
54,0.47681448,0.47514481,0.46889429,0.4061762,0.3197611,0.19966271,0.21115715,0.20553098,0.21577893,0.23368173
55,0.46396341,0.46948389,0.46243875,0.3865549,0.31395964,0.19649654,0.20120565,0.19876318,0.2088642,0.22405278
56,0.45632498,0.4639836,0.44847058,0.38032298,0.30952131,0.19078431,0.19953682,0.19398033,0.20700183,0.22320814
57,0.45016663,0.45866899,0.44936616,0.37777189,0.30084911,0.18520208,0.19319305,0.18892061,0.19834649,0.21226114
58,0.44243713,0.44736258,0.44194149,0.37023695,0.29241392,0.17741802,0.18369934,0.18193819,0.19525427,0.21030265
59,0.43825598,0.44007392,0.42923763,0.36262179,0.28626833,0.16848747,0.17681815,0.18034418,0.18723178,0.2032099
60,0.43125873,0.43672585,0.42610382,0.35725072,0.27677048,0.16772911,0.17364599,0.17118428,0.18641183,0.19388967
61,0.42136199,0.42781018,0.42291521,0.345179,0.27239009,0.15747383,0.16832025,0.17157196,0.17437185,0.19414431
62,0.41603401,0.42272334,0.40888134,0.34376527,0.26249653,0.15853482,0.16544979,0.16258442,0.17551156,0.18432524
63,0.41554906,0.4140038,0.4101376,0.33832191,0.25995333,0.15046148,0.15880499,0.15941148,0.16979779,0.1809149
64,0.40568369,0.40702895,0.40206454,0.32982958,0.25565699,0.15267694,0.15350184,0.15400203,0.16891319,0.17734934
65,0.39923707,0.40027385,0.38780438,0.31994966,0.24827555,0.14055552,0.15164517,0.14923127,0.16156893,0.17381333
66,0.38164689,0.39393071,0.38480952,0.31291836,0.23684988,0.13915867,0.14268411,0.14754185,0.15126389,0.16428486
67,0.38135118,0.38790744,0.38103939,0.30381261,0.23554428,0.13608695,0.1418795,0.1390015,0.14851281,0.16031298
68,0.37290737,0.38281858,0.37560797,0.29978208,0.22567707,0.13324238,0.13734047,0.13284065,0.14697158,0.16082499
69,0.36857985,0.37436487,0.36647868,0.29522467,0.22254543,0.12788783,0.13235888,0.13322653,0.14124167,0.15343558
70,0.36326304,0.36515725,0.3601964,0.292089,0.21755832,0.12135734,0.13202402,0.1297029,0.14107349,0.14777892
71,0.35411811,0.3612451,0.34828357,0.28311312,0.21302481,0.1182316,0.12725375,0.12847867,0.13107129,0.14987328
72,0.34774838,0.35934905,0.34819755,0.27774767,0.20701436,0.1174451,0.12574401,0.12261365,0.13502293,0.14371871
73,0.34484529,0.34581908,0.33822909,0.26881549,0.19974246,0.11566,0.12085034,0.12198411,0.12476553,0.13842423
74,0.33745488,0.34284565,0.33319766,0.26434957,0.19745862,0.10874212,0.11562234,0.11812511,0.1221871,0.13272793
75,0.32840305,0.33893376,0.32323287,0.25435281,0.19111589,0.10547376,0.10913072,0.11452034,0.12235519,0.13107843
76,0.32647292,0.33080657,0.31923979,0.25959814,0.18959664,0.10369747,0.10790708,0.11092998,0.11646238,0.13204603
77,0.31603157,0.32683701,0.3105898,0.24506421,0.18326617,0.10083458,0.10611721,0.10858844,0.11600587,0.12322305
78,0.3102245,0.32348308,0.30785313,0.24137223,0.17361643,0.10105135,0.10524469,0.1083571,0.11244381,0.11930422
79,0.30592069,0.31159427,0.30353088,0.23700673,0.17378926,0.0949973,0.10351604,0.09841811,0.11068084,0.12004803
80,0.30048185,0.30777785,0.29943734,0.23161801,0.1708525,0.09859988,0.09565619,0.10161406,0.10420433,0.1168076
81,0.29588998,0.30095203,0.2879047,0.22175034,0.16212781,0.09243809,0.09572234,0.09102529,0.10540776,0.11254154
82,0.28667079,0.29498883,0.28787447,0.21951003,0.16344306,0.09085868,0.09238253,0.09663212,0.10071283,0.10926226
83,0.28180965,0.29176661,0.27709728,0.21736718,0.15489969,0.08410202,0.08812552,0.09455296,0.10039791,0.10829329
84,0.2763135,0.2853858,0.27195759,0.20625969,0.14897924,0.08507458,0.08710244,0.09374734,0.09501063,0.10299641
85,0.26967451,0.27646296,0.26670698,0.20430031,0.14791033,0.08175706,0.0842489,0.08808127,0.09158122,0.1019062
