epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
1,1.93265509,1.94917464,1.87052368,1.89426946,1.87023069,1.88068427,1.94573775,1.93283303,1.93392893,1.929345
2,1.50513495,1.53045491,1.47481652,1.47684575,1.45908117,1.42049061,1.46293543,1.43688767,1.41834319,1.39942171
3,1.35409338,1.3678742,1.32521697,1.32926493,1.30604653,1.2416186,1.28342622,1.26639266,1.262029,1.22682883
4,1.24957094,1.26923372,1.23818876,1.2343626,1.21628847,1.12233342,1.15968502,1.13870152,1.14770386,1.118486
5,1.16902934,1.19364714,1.15568486,1.16047544,1.13192635,1.03787083,1.07222243,1.04338853,1.05397299,1.02125654
6,1.10959028,1.12627739,1.10668799,1.10460555,1.06557085,0.96360872,0.99446113,0.97125194,0.98067164,0.95387819
7,1.07481441,1.07239402,1.05712468,1.06031949,1.01368191,0.91604127,0.93453817,0.91157104,0.92004254,0.90342985
8,1.02744455,1.03056361,1.02557257,1.02306669,0.95789869,0.85784157,0.8793169,0.86034078,0.87239512,0.85699802
9,0.9955657,1.00018099,0.98546679,0.98427448,0.92209477,0.82064354,0.83906647,0.81784553,0.82860601,0.81839632
10,0.97048298,0.96200725,0.95066995,0.95124926,0.89372506,0.7828182,0.79783622,0.77807361,0.79079127,0.78344907
11,0.93990648,0.93666134,0.92440664,0.93686736,0.85545374,0.75056398,0.75747575,0.74610696,0.76151494,0.74818159
12,0.91131656,0.91336202,0.90171056,0.90171483,0.82407013,0.72020503,0.72871545,0.71137558,0.72557064,0.72267652
13,0.89607447,0.89307011,0.88207533,0.88458763,0.80027406,0.69644917,0.7016175,0.68806544,0.6960114,0.69744335
14,0.87799727,0.87099985,0.86668651,0.86514981,0.77938297,0.67695247,0.67153115,0.66244944,0.67885915,0.68317639
15,0.8574955,0.8524129,0.84610569,0.83757514,0.75213165,0.65111426,0.64865275,0.63716249,0.65284158,0.65717132
16,0.84313259,0.84178593,0.83125087,0.82244439,0.73363515,0.62727014,0.62164907,0.62137674,0.63344235,0.63227251
17,0.82898803,0.82154015,0.81549829,0.79901116,0.71854327,0.61150723,0.60126918,0.59850359,0.61219034,0.61799385
18,0.80994293,0.80269899,0.80615814,0.7842104,0.69201857,0.59165879,0.58383498,0.57722193,0.59446198,0.60343163
19,0.79859635,0.79059676,0.78726961,0.76527086,0.67325081,0.57753773,0.56467555,0.56142208,0.57302527,0.58522746
20,0.78404741,0.77722348,0.78161752,0.74580658,0.65963076,0.55673614,0.54224138,0.54131606,0.55784981,0.56532632
21,0.77755011,0.77459186,0.76578074,0.7422208,0.64944452,0.54323018,0.53101208,0.52809272,0.54306805,0.55454487
22,0.76094281,0.75660839,0.75856526,0.72345188,0.62571814,0.52881355,0.50972031,0.5111268,0.52526116,0.53957625
23,0.75054863,0.74840513,0.74246132,0.70691396,0.61429628,0.51013491,0.49532299,0.50490444,0.50975019,0.52199778
24,0.74336726,0.73234523,0.72636976,0.69250093,0.59765873,0.49911089,0.47594598,0.48638726,0.49082709,0.50902692
25,0.73138666,0.7327345,0.72611252,0.68482497,0.58517015,0.48637955,0.47095102,0.47548,0.48319121,0.4951592
26,0.71331578,0.70995656,0.70984516,0.66633263,0.57025072,0.46696782,0.453086,0.458551,0.46752062,0.47697327
27,0.70301891,0.69502731,0.69410925,0.65633234,0.55895554,0.45103336,0.44218142,0.44344801,0.45522319,0.46865244
