epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
50,2.89462207,2.28813035,2.0418933,0.87541257,0.59154758,0.35797208,0.36078928,0.38803586,0.41718781,0.40533276
51,2.88034187,2.26699032,2.01430451,0.84454747,0.55694918,0.34229905,0.34627666,0.37056217,0.39765144,0.39039939
52,2.87076301,2.25141455,1.99922481,0.82434907,0.54199344,0.33313602,0.33167626,0.3573106,0.38128916,0.37773764
53,2.85824629,2.23576898,1.97860912,0.78935527,0.5146694,0.31680241,0.31478712,0.33821322,0.37019717,0.36917351
54,2.85590765,2.22679825,1.96705177,0.77870857,0.49616527,0.30947315,0.31424389,0.33037012,0.36107146,0.35686413
55,2.84330484,2.21297851,1.94726395,0.74608393,0.48003876,0.29397628,0.30078885,0.32026564,0.34638382,0.34536624
56,2.83697896,2.19025472,1.92715348,0.71963774,0.45989459,0.28655936,0.28699458,0.31340421,0.33590319,0.33074032
57,2.81939493,2.17935129,1.90536421,0.69051802,0.44363934,0.2693412,0.27786897,0.29767144,0.31627554,0.31520807
58,2.81805017,2.16650179,1.89331874,0.67418881,0.4295164,0.26072206,0.26635952,0.28364397,0.30930677,0.30763131
59,2.80883437,2.14936702,1.87454876,0.6587472,0.42084888,0.25458286,0.26288982,0.28045419,0.29836513,0.30187772
60,2.80680533,2.13277731,1.85775115,0.64277079,0.41007056,0.24331087,0.25634373,0.26879023,0.28439467,0.28770487
61,2.79699551,2.11684232,1.84407874,0.61932365,0.39698896,0.23828431,0.23835408,0.26489355,0.28175654,0.27879238
62,2.78371753,2.09939812,1.81791978,0.59312176,0.37846935,0.23122017,0.23611557,0.25425484,0.27158107,0.26779997
63,2.78190169,2.09517107,1.812879,0.58489732,0.36648437,0.22245009,0.23016686,0.24171373,0.26520286,0.26145444
64,2.77157645,2.07575112,1.79139913,0.55921692,0.35417651,0.21089606,0.22268945,0.23492094,0.25378835,0.25463542
