epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
49,1.03662475,0.69674037,0.59776173,0.34060542,0.2858713,0.24288967,0.24588875,0.25661539,0.2555717,0.26213501
50,1.0325078,0.68498276,0.58788985,0.34034582,0.28269274,0.23800495,0.24131438,0.2499417,0.24902657,0.25894299
51,1.02559044,0.68263812,0.58493218,0.33577445,0.28480509,0.23389086,0.23560125,0.24586141,0.24382322,0.25169965
52,1.02286453,0.67759602,0.57696255,0.32872939,0.27581685,0.22859267,0.23118604,0.24067971,0.24565185,0.24517035
53,1.01976218,0.67101479,0.57217097,0.32497807,0.27034035,0.22331584,0.22213662,0.23965956,0.23465866,0.2422655
54,1.01775541,0.66351002,0.57133752,0.31947825,0.25899421,0.22160454,0.22510544,0.23228646,0.23153519,0.23811978
55,1.00823985,0.66083316,0.56180636,0.30920432,0.25536652,0.21792885,0.21541212,0.22778828,0.22942013,0.23121325
56,1.00996209,0.65585631,0.55965663,0.30900346,0.25504284,0.21100483,0.21635331,0.21978166,0.22418206,0.23169069
57,0.99628489,0.64567775,0.54727999,0.29747424,0.24767812,0.20286851,0.21073486,0.21572751,0.21762933,0.22679351
58,1.00051034,0.64627678,0.54416028,0.30073748,0.24024568,0.20161221,0.20249421,0.21579571,0.21371443,0.21524263
59,1.00217219,0.63852191,0.53947126,0.2926915,0.23616699,0.19818881,0.19584642,0.20902313,0.21321363,0.21621005
60,0.99409898,0.63694025,0.54302683,0.28966209,0.23471018,0.19093147,0.19673336,0.20773589,0.2059577,0.21484982
61,0.98676677,0.62959281,0.52995086,0.2845142,0.22896872,0.18821489,0.19189994,0.20302492,0.20230061,0.21521233
62,0.98236745,0.62794898,0.52698218,0.28348198,0.22564231,0.18869366,0.18832801,0.20038933,0.20032264,0.20546676
63,0.982016,0.62358592,0.52385709,0.27903692,0.22262758,0.18279722,0.18491172,0.1928784,0.19303077,0.20167241
64,0.97792832,0.61760165,0.52014018,0.27081696,0.21988653,0.18000972,0.17882561,0.18977784,0.18994124,0.19887113
65,0.97247197,0.61377291,0.51178987,0.27111905,0.21761222,0.17826514,0.17984334,0.18448168,0.18755655,0.19935262
66,0.97352665,0.61051139,0.51136547,0.26197045,0.21000465,0.16999104,0.17203335,0.18465051,0.18409657,0.19158465
67,0.96402968,0.60150247,0.50120336,0.25717416,0.20345229,0.16777592,0.17353279,0.17997161,0.17945426,0.18419127
68,0.96652362,0.60467029,0.5047764,0.25541531,0.20505891,0.16649555,0.16817211,0.18134624,0.18069505,0.1867255
69,0.96574488,0.601061,0.5007303,0.25480974,0.19716244,0.16176321,0.15990789,0.170111,0.1783914,0.17958138
70,0.95936185,0.59343294,0.49525023,0.24650782,0.19588262,0.15822372,0.1578643,0.16877247,0.16876468,0.17474807
71,0.96259763,0.59354512,0.49019347,0.23947955,0.19246624,0.15370134,0.15366141,0.1691813,0.16808474,0.17235285
72,0.95149359,0.58576133,0.48710303,0.2427542,0.18877405,0.15225262,0.15123984,0.1636657,0.16462171,0.17145853
73,0.95270191,0.58896879,0.48239276,0.23643005,0.18521458,0.15174202,0.14956712,0.16121005,0.16321658,0.17064935
74,0.94890582,0.57944701,0.48119967,0.23564313,0.18333264,0.14765639,0.147369,0.15811391,0.15849204,0.16931374
75,0.9436773,0.5764067,0.47039571,0.22661513,0.17710907,0.14365818,0.14134354,0.15228664,0.15465568,0.15971122
76,0.94680961,0.57307719,0.46948776,0.22281395,0.17267573,0.14292882,0.13863796,0.1493436,0.15322243,0.16361214
77,0.93851051,0.56731799,0.46868526,0.21901664,0.17272376,0.14051618,0.14011161,0.15226833,0.14982753,0.15624837
78,0.93657952,0.56285606,0.46286768,0.21789238,0.17083939,0.13366513,0.13339765,0.14459136,0.14919359,0.15271224
79,0.93095764,0.55905058,0.45681342,0.21312377,0.16497775,0.13115461,0.13185544,0.1421817,0.14009565,0.14945895
80,0.92447417,0.55451103,0.45581157,0.20919952,0.16251814,0.1294346,0.13111181,0.14410049,0.14455011,0.14414142
81,0.92695086,0.55350111,0.45068903,0.2095981,0.15868477,0.12650366,0.13228107,0.14039132,0.14271139,0.14491033
82,0.92399018,0.55356949,0.44802483,0.20200702,0.15608195,0.12413211,0.12698638,0.136255,0.13561419,0.14508251
83,0.9248919,0.54901347,0.44160152,0.20607786,0.1552626,0.12526902,0.12315204,0.13321237,0.13703243,0.13882953
84,0.91472395,0.5426877,0.43641865,0.19237914,0.14897377,0.11846113,0.11754488,0.12852367,0.12845275,0.13442284
85,0.91338947,0.53853125,0.43564736,0.18810001,0.14410195,0.11223172,0.11556493,0.12598244,0.12456049,0.13107777
86,0.9103887,0.54031196,0.43586899,0.19410367,0.14495571,0.11656006,0.11722024,0.12478993,0.12640628,0.13119054
87,0.90826226,0.53195217,0.42805451,0.18560125,0.13881677,0.11424456,0.11359711,0.12189965,0.12320428,0.12759678
88,0.90393046,0.52736749,0.42535106,0.18611239,0.13915108,0.11214144,0.10890945,0.12011169,0.11934124,0.12287484
89,0.90615202,0.52873211,0.42645498,0.18132365,0.13595227,0.10723977,0.10815654,0.11642135,0.12085788,0.12715512
90,0.9021849,0.52523069,0.42220047,0.1790885,0.13422705,0.1069439,0.1030698,0.11495008,0.11775139,0.1210415
91,0.89881583,0.52017838,0.42000557,0.17352951,0.12930684,0.10405072,0.10447613,0.11489351,0.11309984,0.11995862
92,0.89384718,0.5191925,0.41719601,0.17325543,0.13097385,0.10696444,0.10169448,0.11426365,0.10938257,0.11799746
93,0.89350752,0.51061118,0.40893755,0.17476474,0.12729319,0.10286527,0.09968628,0.10572438,0.11118505,0.11786371
94,0.88997856,0.51378476,0.40586006,0.16538375,0.12329565,0.09411815,0.10011126,0.10375596,0.10521248,0.11092555
95,0.88945238,0.50813897,0.40357635,0.16233985,0.12110683,0.09675211,0.09425077,0.10342577,0.10835083,0.11162947
96,0.89124308,0.50113181,0.39961575,0.16068208,0.11851794,0.09477645,0.09463105,0.10652601,0.10178877,0.10945438
97,0.88076899,0.50099738,0.39894239,0.15712266,0.11891902,0.09203418,0.09381045,0.10245046,0.10252766,0.1073502
98,0.88021101,0.49468628,0.39081038,0.15117282,0.10769781,0.08466926,0.08584561,0.09933794,0.09682241,0.10478869
99,0.87670721,0.49891208,0.39137678,0.15085122,0.10813022,0.08634852,0.08754085,0.09375526,0.09293986,0.10019738
100,0.87358204,0.49284135,0.38902724,0.14596571,0.10844632,0.08761938,0.08632544,0.09382464,0.09644665,0.10129904
101,0.87012957,0.49253169,0.38355856,0.15053718,0.1047958,0.08346549,0.08209157,0.09186434,0.0890852,0.09907838
102,0.87555743,0.49018682,0.38345312,0.14679063,0.10702771,0.08357402,0.08213305,0.0898781,0.09166955,0.09480042
103,0.8726778,0.48815599,0.38124808,0.14315083,0.10172951,0.08113482,0.08133225,0.09096549,0.08710365,0.09727549
104,0.87185024,0.4802622,0.37591479,0.13555818,0.10194009,0.08014129,0.07623413,0.08718419,0.08890868,0.09005731
105,0.86850593,0.48458311,0.38081791,0.13772956,0.09904711,0.07483717,0.07542777,0.08352036,0.08335721,0.09029365
106,0.86793961,0.47425761,0.36808714,0.13111186,0.09871129,0.07595678,0.07534868,0.08383612,0.08689845,0.09084626
107,0.86156241,0.4799589,0.3693646,0.13335557,0.0936338,0.07293465,0.07279762,0.08034833,0.07951421,0.08721438
108,0.86142392,0.47240668,0.36434444,0.13018751,0.09176362,0.0692799,0.07181287,0.07731658,0.07753259,0.08576617
109,0.85912773,0.46818705,0.36344907,0.12681612,0.09337734,0.0694822,0.07229281,0.07750944,0.07952289,0.08499872
110,0.85383749,0.4639336,0.36166556,0.12133741,0.09132752,0.06691531,0.07053355,0.07601526,0.07980857,0.08053054
111,0.850688,0.46389021,0.35731428,0.12184762,0.08566425,0.06721908,0.06804775,0.07378946,0.07643216,0.08124357
112,0.85761938,0.4599755,0.35423218,0.12328274,0.08185024,0.06566405,0.0655524,0.07348529,0.07281429,0.07526899
113,0.84693644,0.45364493,0.34887997,0.11754821,0.08531909,0.06639893,0.066759,0.07122986,0.06991329,0.07585482
114,0.84599542,0.45136008,0.34463049,0.11545789,0.07864695,0.0586455,0.06352859,0.0688078,0.07035914,0.07598398
115,0.84750927,0.4507979,0.34540452,0.11890583,0.08100765,0.06004531,0.06190639,0.0691447,0.06764249,0.07005378
116,0.84090441,0.45166789,0.34445956,0.11162739,0.07822663,0.05836014,0.05713825,0.06413463,0.06649262,0.07379264
117,0.84061378,0.45135826,0.34402555,0.11059504,0.07984016,0.05831307,0.05531967,0.06487104,0.06343858,0.06940346
118,0.83843894,0.44269013,0.33765115,0.1077863,0.07469224,0.05902477,0.06125666,0.06503699,0.06592891,0.06820835
119,0.84245019,0.44235866,0.33476594,0.10635831,0.07374452,0.05530683,0.05438342,0.06280123,0.06174632,0.06729744
120,0.83367707,0.43999252,0.33196686,0.10385947,0.07347215,0.05391248,0.05470943,0.06000548,0.0606445,0.06299865
121,0.83304711,0.43639456,0.32933023,0.10245052,0.07253072,0.05577865,0.05626564,0.05810934,0.06221014,0.06473188
122,0.83328203,0.43418042,0.3306579,0.10324373,0.0703161,0.05325748,0.05252389,0.05850751,0.05892158,0.06299488
123,0.82590579,0.42625973,0.32043405,0.09719234,0.06621265,0.05154131,0.05033602,0.05775903,0.05745398,0.06223192
124,0.82811849,0.43392043,0.3271954,0.09905926,0.06637524,0.04891656,0.04989729,0.05556663,0.05625743,0.05997292
125,0.82606855,0.4263672,0.31810619,0.09494221,0.06497771,0.04513397,0.04766553,0.05266244,0.05462092,0.05923921
126,0.82368322,0.42227912,0.31829384,0.08897434,0.06710434,0.04775783,0.04694687,0.05401495,0.05094907,0.05826784
127,0.82089316,0.4191465,0.31295741,0.09027503,0.05895072,0.04210965,0.04589116,0.04922145,0.05084113,0.05414066
128,0.8213811,0.42080271,0.31607741,0.08710253,0.0580562,0.04793476,0.04433999,0.05010834,0.04943618,0.05460142
129,0.82029192,0.41807903,0.30973633,0.08494408,0.0590731,0.04342796,0.04161704,0.04956438,0.0501703,0.05382131
