epoch,relu_1e-2_train_loss,gelu_1e-2_train_loss,silu_1e-2_train_loss,relu_1e-3_train_loss,gelu_1e-3_train_loss,silu_1e-3_train_loss,relu_1e-4_train_loss,gelu_1e-4_train_loss,silu_1e-4_train_loss,relu_1e-5_train_loss,gelu_1e-5_train_loss,silu_1e-5_train_loss,zilu_sigma0.1_lr1e-2_train_loss,zilu_sigma0.5_lr1e-2_train_loss,zilu_sigma1.0_lr1e-2_train_loss,zilu_sigma5.0_lr1e-2_train_loss,zilu_sigma10.0_lr1e-2_train_loss,zilu_approx_sigma0.1_lr1e-2_train_loss,zilu_approx_sigma0.5_lr1e-2_train_loss,zilu_approx_sigma1.0_lr1e-2_train_loss,zilu_approx_sigma5.0_lr1e-2_train_loss,zilu_approx_sigma10.0_lr1e-2_train_loss,zilu_sigma0.1_lr1e-3_train_loss,zilu_sigma0.5_lr1e-3_train_loss,zilu_sigma1.0_lr1e-3_train_loss,zilu_sigma5.0_lr1e-3_train_loss,zilu_sigma10.0_lr1e-3_train_loss,zilu_approx_sigma0.1_lr1e-3_train_loss,zilu_approx_sigma0.5_lr1e-3_train_loss,zilu_approx_sigma1.0_lr1e-3_train_loss,zilu_approx_sigma5.0_lr1e-3_train_loss,zilu_approx_sigma10.0_lr1e-3_train_loss,zilu_sigma0.1_lr1e-4_train_loss,zilu_sigma0.5_lr1e-4_train_loss,zilu_sigma1.0_lr1e-4_train_loss,zilu_sigma5.0_lr1e-4_train_loss,zilu_sigma10.0_lr1e-4_train_loss,zilu_approx_sigma0.1_lr1e-4_train_loss,zilu_approx_sigma0.5_lr1e-4_train_loss,zilu_approx_sigma1.0_lr1e-4_train_loss,zilu_approx_sigma5.0_lr1e-4_train_loss,zilu_approx_sigma10.0_lr1e-4_train_loss,zilu_sigma0.1_lr1e-5_train_loss,zilu_sigma0.5_lr1e-5_train_loss,zilu_sigma1.0_lr1e-5_train_loss,zilu_sigma5.0_lr1e-5_train_loss,zilu_sigma10.0_lr1e-5_train_loss,zilu_approx_sigma0.1_lr1e-5_train_loss,zilu_approx_sigma0.5_lr1e-5_train_loss,zilu_approx_sigma1.0_lr1e-5_train_loss,zilu_approx_sigma5.0_lr1e-5_train_loss,zilu_approx_sigma10.0_lr1e-5_train_loss
11,0.75365182,0.78649882,0.8542427,0.65247577,0.65135098,0.67698016,0.79142371,0.75840897,0.74515466,1.39192593,1.33509558,1.29888699,1.20523912,0.84486224,0.86536292,0.8014335,0.78092794,1.03575866,0.92273826,0.85521722,0.76333538,0.7894442,1.16845598,0.75546486,0.68655756,0.65691588,0.6673423,1.0711151,0.75263139,0.72841803,0.65526482,0.65261532,0.9698714,0.76513984,0.74320072,0.76910765,0.77178125,0.92842131,0.77428221,0.73960163,0.7727055,0.77066335,1.14178244,1.18099554,1.24988133,1.35274454,1.354728,1.10608686,1.16230596,1.20757347,1.32314241,1.35291743
12,0.72226088,0.7663637,0.81936323,0.62661365,0.61871707,0.64589263,0.75894936,0.72417451,0.71587545,1.35880711,1.30468739,1.26913974,1.15241975,0.80798494,0.81898902,0.7771554,0.74476826,1.00020668,0.90206478,0.82761313,0.73702488,0.76536498,1.13815056,0.71966827,0.65188671,0.62402327,0.64100054,1.04259722,0.72296523,0.68981952,0.62437149,0.62173653,0.94352618,0.73617038,0.71420284,0.73855883,0.74227025,0.90097231,0.74429574,0.71091289,0.74165184,0.74483864,1.11438644,1.15379736,1.21339992,1.32192595,1.31840635,1.08354214,1.13865545,1.18258737,1.29473775,1.32203284
13,0.70099902,0.73211267,0.77942677,0.60450004,0.59733067,0.62001982,0.7387717,0.70120182,0.68945266,1.33653659,1.27706949,1.23830466,1.10238682,0.77278217,0.80077133,0.78562668,0.71804082,0.96778382,0.85449469,0.79275627,0.71246324,0.73424754,1.09917742,0.6931823,0.62120897,0.60258476,0.60933486,1.01061337,0.69411102,0.66691729,0.5994179,0.59879223,0.92144606,0.71360059,0.69027521,0.71153107,0.71114419,0.87923957,0.72341736,0.68691561,0.71664832,0.71481067,1.09645544,1.12748621,1.18328829,1.29663188,1.29555985,1.06376274,1.10958019,1.15354735,1.26226614,1.29542911
14,0.69680328,0.70425843,0.75249618,0.58340564,0.5675978,0.59976172,0.71418038,0.67615377,0.6741587,1.31214886,1.24979592,1.21803829,1.06077435,0.75872985,0.77598357,0.73270247,0.69752446,0.93816037,0.82198759,0.76957915,0.6973915,0.71057432,1.07339601,0.6711413,0.60848821,0.58199105,0.59650955,0.98718328,0.67625372,0.64552804,0.5747561,0.58117289,0.90411848,0.6964452,0.66805742,0.69183138,0.69758032,0.86466345,0.70383587,0.66999849,0.69567661,0.69698617,1.08469901,1.10613569,1.1641786,1.27258217,1.26981321,1.04553223,1.085326,1.13520461,1.24049505,1.27249029
15,0.66865753,0.68425429,0.71713917,0.56496579,0.54282941,0.57977126,0.69215513,0.65515292,0.65458112,1.28981704,1.22223154,1.19181207,1.03155149,0.72818941,0.73524839,0.70531822,0.68333902,0.91603971,0.8058292,0.745625,0.67649166,0.68775665,1.04944454,0.65089019,0.59009355,0.56264518,0.57630343,0.95890748,0.65476801,0.62165194,0.56165156,0.56161224,0.88542872,0.67644301,0.65127427,0.66862518,0.67464642,0.84404985,0.68558002,0.65315267,0.6731665,0.67406992,1.06856755,1.08655953,1.14301766,1.24612595,1.25125216,1.03112088,1.06918675,1.11062342,1.21892864,1.24845779
16,0.64810141,0.6640602,0.69432172,0.54379944,0.52333881,0.56098751,0.66907175,0.63709367,0.62978107,1.26011861,1.20242657,1.16875021,0.99548408,0.71445229,0.70693828,0.67834493,0.65164995,0.88266513,0.7830851,0.72431888,0.65190554,0.66016944,1.02414313,0.62708264,0.56918179,0.53828242,0.55335225,0.93572644,0.63137711,0.59612154,0.53961846,0.53859371,0.86471807,0.65551014,0.63131153,0.6509669,0.65206168,0.82908609,0.66477187,0.62831535,0.65257328,0.65758186,1.05117957,1.06266372,1.12151449,1.22112218,1.22155753,1.00973204,1.0467697,1.08460328,1.19541577,1.22257624
17,0.65075079,0.65935532,0.6755109,0.53052843,0.50913803,0.54307131,0.6547608,0.61567713,0.61330431,1.24603742,1.18439446,1.14775408,0.97095604,0.70191473,0.69019279,0.66959801,0.64368133,0.86688712,0.76707203,0.70580085,0.63805198,0.65531416,1.0086127,0.60874942,0.54907033,0.52808643,0.53675655,0.91934294,0.61495201,0.58257647,0.52422414,0.52094138,0.85558163,0.64410869,0.61524108,0.63129031,0.64215192,0.81489197,0.64729534,0.61416546,0.6354598,0.63595238,1.04152916,1.04725812,1.10247715,1.20320317,1.20397207,0.99957799,1.02659138,1.06924675,1.18183845,1.20565608
18,0.63348297,0.63050246,0.65899876,0.52125245,0.49172153,0.52852326,0.64383714,0.60011413,0.59630885,1.22701838,1.1607972,1.13428197,0.94744957,0.68040563,0.68162602,0.659674,0.62709386,0.84619643,0.73262018,0.69163287,0.62565789,0.63955725,0.98161022,0.59589979,0.53178779,0.50870215,0.52307787,0.89248207,0.59788399,0.56636991,0.51141305,0.50660574,0.83404872,0.62889781,0.59961984,0.61584615,0.62034896,0.80100538,0.63487738,0.5994378,0.61881067,0.62325432,1.02324355,1.02419597,1.0818507,1.18630842,1.18896246,0.98441552,1.00975763,1.05736607,1.16328128,1.18538309
19,0.61464012,0.61080419,0.64651313,0.50267824,0.48109396,0.51060694,0.6258599,0.58364105,0.58358273,1.20456339,1.14209938,1.11180674,0.92721974,0.6656916,0.66255809,0.64058809,0.61690388,0.83039903,0.7220644,0.67473886,0.61046142,0.61399518,0.96582875,0.58114841,0.5175632,0.493899,0.50893615,0.87175208,0.58322855,0.55046223,0.49741879,0.49528949,0.82246286,0.60842236,0.58569209,0.60029973,0.6094778,0.78437297,0.61902338,0.58305176,0.60125519,0.60616683,1.01289704,1.00497588,1.06603125,1.16245306,1.16594285,0.973758,0.99146089,1.03954032,1.1407233,1.16242274
20,0.60711282,0.60005061,0.63470421,0.49066035,0.46305947,0.49446448,0.60713886,0.57025916,0.5652115,1.18938022,1.12304491,1.09411591,0.89971691,0.64260507,0.63821745,0.63394262,0.60253506,0.80715741,0.70362399,0.65758357,0.60060805,0.60863811,0.94536063,0.5680114,0.50233083,0.47808394,0.49363878,0.8516076,0.56811336,0.53385689,0.48490083,0.48644577,0.80991335,0.59872399,0.57167535,0.58779254,0.59151887,0.77317281,0.60437612,0.57046926,0.59196283,0.59126603,0.99894416,0.98882769,1.04965626,1.14284313,1.14621357,0.96181761,0.97437047,1.01602265,1.12091848,1.15068978
