epoch,relu_1e-2_train_loss,gelu_1e-2_train_loss,silu_1e-2_train_loss,relu_1e-3_train_loss,gelu_1e-3_train_loss,silu_1e-3_train_loss,relu_1e-4_train_loss,gelu_1e-4_train_loss,silu_1e-4_train_loss,relu_1e-5_train_loss,gelu_1e-5_train_loss,silu_1e-5_train_loss,zilu_sigma0.1_lr1e-2_train_loss,zilu_sigma0.5_lr1e-2_train_loss,zilu_sigma1.0_lr1e-2_train_loss,zilu_sigma5.0_lr1e-2_train_loss,zilu_sigma10.0_lr1e-2_train_loss,zilu_approx_sigma0.1_lr1e-2_train_loss,zilu_approx_sigma0.5_lr1e-2_train_loss,zilu_approx_sigma1.0_lr1e-2_train_loss,zilu_approx_sigma5.0_lr1e-2_train_loss,zilu_approx_sigma10.0_lr1e-2_train_loss,zilu_sigma0.1_lr1e-3_train_loss,zilu_sigma0.5_lr1e-3_train_loss,zilu_sigma1.0_lr1e-3_train_loss,zilu_sigma5.0_lr1e-3_train_loss,zilu_sigma10.0_lr1e-3_train_loss,zilu_approx_sigma0.1_lr1e-3_train_loss,zilu_approx_sigma0.5_lr1e-3_train_loss,zilu_approx_sigma1.0_lr1e-3_train_loss,zilu_approx_sigma5.0_lr1e-3_train_loss,zilu_approx_sigma10.0_lr1e-3_train_loss,zilu_sigma0.1_lr1e-4_train_loss,zilu_sigma0.5_lr1e-4_train_loss,zilu_sigma1.0_lr1e-4_train_loss,zilu_sigma5.0_lr1e-4_train_loss,zilu_sigma10.0_lr1e-4_train_loss,zilu_approx_sigma0.1_lr1e-4_train_loss,zilu_approx_sigma0.5_lr1e-4_train_loss,zilu_approx_sigma1.0_lr1e-4_train_loss,zilu_approx_sigma5.0_lr1e-4_train_loss,zilu_approx_sigma10.0_lr1e-4_train_loss,zilu_sigma0.1_lr1e-5_train_loss,zilu_sigma0.5_lr1e-5_train_loss,zilu_sigma1.0_lr1e-5_train_loss,zilu_sigma5.0_lr1e-5_train_loss,zilu_sigma10.0_lr1e-5_train_loss,zilu_approx_sigma0.1_lr1e-5_train_loss,zilu_approx_sigma0.5_lr1e-5_train_loss,zilu_approx_sigma1.0_lr1e-5_train_loss,zilu_approx_sigma5.0_lr1e-5_train_loss,zilu_approx_sigma10.0_lr1e-5_train_loss
31,0.52299051,0.49367773,0.51331864,0.38435004,0.34605186,0.3793325,0.48405066,0.43468432,0.44071027,1.03514687,0.96756801,0.93289154,0.75825081,0.54269296,0.53750034,0.5304597,0.51196479,0.69592189,0.59172411,0.55259738,0.50970861,0.516101,0.78464185,0.4517841,0.38739854,0.36107468,0.37619627,0.70991172,0.45870878,0.41237726,0.37284561,0.36990877,0.70783912,0.48671751,0.44668383,0.46142247,0.46495271,0.67391789,0.49280088,0.45509944,0.46052865,0.46873067,0.90214478,0.84379909,0.89310254,0.98434591,0.99213103,0.86471545,0.8293335,0.86575924,0.96763716,0.98623914
32,0.52289145,0.49121494,0.50265438,0.37565865,0.33390089,0.3688109,0.47552375,0.42380964,0.42987011,1.01811902,0.94897539,0.91655186,0.74836032,0.53921469,0.52559738,0.52685521,0.49858395,0.68188133,0.57469252,0.53706529,0.502336,0.4961246,0.76709078,0.44234403,0.38090152,0.35476679,0.36735524,0.70086299,0.45119128,0.40602789,0.36250136,0.3565802,0.69943445,0.47649327,0.4384323,0.45282202,0.45831137,0.66543748,0.48596602,0.44741114,0.45099377,0.45746402,0.89613164,0.83053023,0.87919502,0.96839922,0.97249627,0.8545728,0.82115307,0.85309901,0.95078536,0.96959916
33,0.5175792,0.48176316,0.49566502,0.36810686,0.3232893,0.35655085,0.46487749,0.41778559,0.4194686,1.00571624,0.93896976,0.9026117,0.73550953,0.52682235,0.51928083,0.51972424,0.49785773,0.68845068,0.56970019,0.53665201,0.49317428,0.49731741,0.75831135,0.42994026,0.36711984,0.34238446,0.35498738,0.69114799,0.43802463,0.40131776,0.3532452,0.35528221,0.69113524,0.46368054,0.43148539,0.43771781,0.44664581,0.65845977,0.47704959,0.43652052,0.44262161,0.44281317,0.89092479,0.81767173,0.8654917,0.95704941,0.9646843,0.84282224,0.80544111,0.83797568,0.94541741,0.95681061
34,0.50679574,0.47594283,0.49499192,0.35618176,0.31667822,0.34714543,0.45446524,0.40705448,0.41170095,0.99453531,0.92720236,0.89485318,0.72012397,0.50560061,0.50789308,0.51997223,0.49115989,0.66489704,0.55572923,0.53129034,0.48995292,0.48799471,0.74465196,0.42479255,0.36319018,0.33659731,0.34723752,0.67562159,0.42866139,0.38647673,0.34655641,0.3461715,0.68456853,0.46185897,0.42039512,0.43260282,0.43690144,0.65344749,0.47110232,0.42897199,0.43200109,0.43594035,0.87930924,0.80489549,0.85623575,0.94130179,0.95402087,0.83438341,0.79534924,0.8302786,0.93109405,0.94907086
35,0.5057298,0.47165591,0.51022782,0.3585437,0.31390512,0.34682118,0.45131555,0.39793933,0.40781606,0.98107516,0.91954879,0.87959808,0.71845083,0.50956837,0.50806115,0.51998623,0.48903728,0.68416818,0.55247617,0.52412559,0.48453806,0.48841922,0.73168039,0.42483316,0.35544504,0.32877162,0.34126946,0.67441398,0.42435209,0.38306806,0.33895703,0.3380228,0.68224683,0.45222644,0.41726448,0.42610211,0.43228124,0.64685219,0.46572683,0.42131675,0.43168244,0.43178344,0.87357149,0.79508035,0.84088769,0.93427878,0.94200098,0.83450687,0.78768751,0.81767456,0.92035555,0.9330278
36,0.49948938,0.4654845,0.48266609,0.35099269,0.30611302,0.33546511,0.4431272,0.39275741,0.39782819,0.96953006,0.8997104,0.86654299,0.7145484,0.50612512,0.5039248,0.51212785,0.4841521,0.65668213,0.55188032,0.51750586,0.48427882,0.48707476,0.72711802,0.42058933,0.34973844,0.32405352,0.33635248,0.66764193,0.42153684,0.37539166,0.3293541,0.33976437,0.67577323,0.44526735,0.40852464,0.41674001,0.42365574,0.6401375,0.45338888,0.41542509,0.4213342,0.42222781,0.86713835,0.79082384,0.83006306,0.91808484,0.93341647,0.82401675,0.77553699,0.80712315,0.90956281,0.92479677
37,0.49116517,0.45661494,0.46847669,0.34225892,0.29186134,0.32697454,0.42760042,0.37850161,0.3853254,0.95917089,0.89432083,0.85546929,0.70851311,0.49671043,0.49258158,0.50642177,0.48427272,0.65107882,0.54675562,0.50830941,0.47498228,0.47738808,0.71388122,0.39964725,0.33824027,0.31296156,0.32998863,0.65424577,0.40992653,0.36568139,0.32068957,0.32524488,0.66090785,0.43755337,0.39660275,0.40408095,0.41228581,0.62664333,0.44642869,0.40095703,0.40877436,0.4160719,0.86026365,0.77562723,0.81906751,0.90858399,0.92194291,0.81739851,0.7617601,0.79454255,0.89707113,0.91030312
38,0.49298951,0.45829506,0.47027696,0.33133367,0.29273103,0.32154671,0.42632948,0.37867939,0.38282067,0.95152555,0.88501768,0.84792531,0.70041358,0.49659827,0.50122658,0.49321466,0.47386892,0.6438141,0.53755869,0.50873932,0.47295633,0.4711005,0.70611798,0.39824364,0.33593356,0.30902487,0.32558618,0.64853499,0.40625155,0.35755673,0.31773003,0.32240778,0.66051183,0.43103679,0.39513791,0.40296153,0.40722062,0.62656234,0.44539511,0.39927176,0.40633054,0.40529,0.85658149,0.76582793,0.81475265,0.90252036,0.91334043,0.81337286,0.76066631,0.78987555,0.89009871,0.90049681
39,0.50096067,0.45227607,0.4666125,0.33294428,0.28775749,0.31435241,0.41933977,0.36832054,0.374146,0.93854674,0.87011859,0.83821349,0.69744423,0.49302014,0.48932897,0.49914988,0.47590013,0.64800572,0.53782325,0.50206034,0.46952442,0.4761153,0.70182809,0.39449086,0.32635478,0.30528757,0.31768738,0.64438087,0.39674276,0.3524272,0.31226671,0.31663112,0.658509,0.42466883,0.38473489,0.39182933,0.40399505,0.62466935,0.43632705,0.39429495,0.3941347,0.401788,0.84999835,0.75332023,0.79602134,0.88943549,0.90036316,0.80711534,0.7451554,0.77747896,0.87836916,0.88662692
40,0.49055673,0.45784223,0.45497283,0.32538142,0.27473598,0.30733376,0.409678,0.36031782,0.36488452,0.93238506,0.85769488,0.82759655,0.68891463,0.48355821,0.47745481,0.48651452,0.4743631,0.64637273,0.53092772,0.49251663,0.47005083,0.46704178,0.69214511,0.38663132,0.32209526,0.29663921,0.30868224,0.6370932,0.39204554,0.35003371,0.30531722,0.30994504,0.64722032,0.42017074,0.3836162,0.38788128,0.39251521,0.61611167,0.43133466,0.38326991,0.39012992,0.39727618,0.84463249,0.74256321,0.79124798,0.88067457,0.89069322,0.79569393,0.73467362,0.76813114,0.86530737,0.87749501
41,0.47941668,0.44334677,0.46110741,0.31893591,0.27404166,0.30458156,0.40043117,0.35078646,0.35723532,0.91679295,0.84970787,0.81335444,0.67740889,0.47549524,0.47846498,0.48775316,0.46541686,0.63311424,0.52166614,0.49524912,0.46103821,0.4680991,0.67986901,0.38119704,0.31583078,0.28985877,0.30066175,0.62880531,0.38806182,0.34137344,0.29980373,0.30348333,0.64066052,0.41448716,0.37162152,0.37717336,0.3817733,0.61141079,0.4198103,0.38123011,0.37886738,0.38306289,0.83742156,0.73456606,0.78109618,0.86008719,0.87925129,0.79249232,0.72600389,0.75492736,0.85875432,0.87180294
42,0.4863257,0.43878014,0.4420402,0.31535973,0.26476129,0.29829672,0.39324219,0.34288822,0.35101655,0.91242569,0.84016014,0.80823961,0.6732684,0.47368398,0.46953203,0.47905949,0.45415772,0.63605091,0.51423912,0.48403643,0.45581247,0.45599563,0.67250896,0.36990829,0.30672699,0.28645894,0.29675021,0.61740601,0.37756566,0.33545139,0.29179468,0.29671961,0.63259557,0.40288499,0.36371907,0.36858153,0.3763892,0.60038292,0.41493871,0.37192548,0.37327959,0.37719196,0.83075233,0.72485657,0.76857118,0.85528002,0.86852403,0.78126198,0.71471704,0.74360049,0.8485477,0.85842719
43,0.48040042,0.43350508,0.43919868,0.30743877,0.25445286,0.29355406,0.3895032,0.33633741,0.3438758,0.90026436,0.82692499,0.79821461,0.66784829,0.46867308,0.46505989,0.47640004,0.45168224,0.62027413,0.51494969,0.48403392,0.45218384,0.45042646,0.66700423,0.36667577,0.30313518,0.27822803,0.29010769,0.60668849,0.37214005,0.32753348,0.28496336,0.28728139,0.62728022,0.39743074,0.35670026,0.36211228,0.37071008,0.59793984,0.40852079,0.3638526,0.36422087,0.36855713,0.82703411,0.71538027,0.76079303,0.84628444,0.85796409,0.78480006,0.70909316,0.7333383,0.83726544,0.85084313
44,0.47554461,0.43779624,0.4347069,0.30036706,0.25773686,0.28576414,0.38084576,0.32842133,0.34120494,0.89075905,0.81739449,0.78439994,0.66165343,0.46368489,0.46278846,0.47465303,0.44841123,0.61519611,0.50418958,0.48220562,0.4521994,0.45093377,0.65725015,0.36079772,0.29670451,0.27576708,0.29116978,0.60246429,0.36695529,0.32047636,0.2851854,0.28666439,0.6264235,0.39264035,0.35139315,0.35518002,0.3692876,0.5972555,0.40656555,0.36246706,0.36134067,0.36365722,0.82391849,0.70994611,0.74658338,0.83988505,0.85726142,0.77797196,0.69796023,0.72904458,0.82946151,0.84311615
45,0.46820713,0.43062741,0.45038413,0.29563884,0.24675995,0.27768194,0.37527243,0.3210105,0.33038669,0.8858183,0.81358964,0.77522331,0.65433557,0.45814317,0.45541968,0.46970949,0.45043489,0.61236452,0.51799281,0.47776121,0.45081412,0.44899512,0.64953715,0.3545801,0.29091536,0.26716337,0.27815375,0.59519596,0.36295978,0.31541796,0.27744068,0.27882351,0.61457079,0.38386492,0.34333699,0.34952285,0.35933674,0.58567491,0.39796424,0.35403022,0.35119861,0.35652638,0.81292832,0.69761336,0.73591466,0.82903754,0.83914969,0.76756428,0.68885258,0.71872029,0.81596182,0.83032576
46,0.46913628,0.42154257,0.42835954,0.29229742,0.24177196,0.27020351,0.37297534,0.31726164,0.32578926,0.88178184,0.80354884,0.76747512,0.65013576,0.45624702,0.45731226,0.46887687,0.44677318,0.60952851,0.505135,0.47138243,0.43808345,0.44345902,0.64212851,0.34868603,0.28422764,0.26021329,0.27963755,0.59206505,0.35758562,0.31396483,0.27150588,0.279014,0.61685963,0.37920939,0.34317811,0.34645847,0.3589416,0.58781725,0.39361104,0.34710466,0.35017584,0.34997335,0.81382719,0.6913476,0.73087983,0.82029812,0.83545144,0.76672133,0.67939053,0.71025792,0.80956523,0.82586686
47,0.4695787,0.42064784,0.42598918,0.28649844,0.24029049,0.26942237,0.36339439,0.31369016,0.31792701,0.87481451,0.794613,0.76273369,0.6580006,0.455771,0.45596651,0.46386252,0.44597363,0.61572588,0.50630281,0.47989285,0.44384698,0.44717197,0.64479929,0.34698213,0.28201954,0.25852424,0.27034265,0.59185737,0.35551123,0.30822999,0.27106452,0.27270709,0.61297605,0.37856569,0.33038756,0.33885953,0.34692577,0.5822339,0.38977819,0.34618377,0.34220216,0.34883609,0.81181991,0.68731704,0.72278,0.81698991,0.8332787,0.76047246,0.67808755,0.70799211,0.80639202,0.82158772
48,0.45987467,0.41379147,0.42601787,0.28168854,0.22936199,0.26224327,0.35785276,0.30320141,0.31320714,0.86180559,0.78005487,0.74555806,0.64186426,0.4713747,0.44896672,0.46303879,0.44371824,0.60426955,0.49636922,0.46513876,0.43868837,0.44216879,0.63105482,0.33932447,0.27883878,0.25031269,0.2633728,0.57924354,0.34980886,0.30102278,0.2621491,0.27137121,0.60559887,0.37112025,0.33064466,0.33068247,0.34027551,0.57377871,0.38115083,0.33658483,0.33807622,0.3379974,0.80358967,0.6735863,0.71147116,0.80160521,0.81628819,0.75627041,0.66435734,0.6915107,0.79199658,0.80813724
49,0.46341247,0.41616208,0.43181337,0.27916272,0.2312385,0.25810664,0.35334541,0.29669056,0.30982072,0.85131423,0.77485734,0.73818602,0.64066012,0.45428374,0.44505046,0.46032593,0.44412723,0.60114079,0.49150563,0.45689751,0.43998128,0.43526833,0.6261389,0.33282365,0.27109632,0.24684325,0.2590071,0.57979331,0.34284943,0.29935307,0.25944466,0.26063412,0.59897411,0.36783499,0.32060999,0.32163175,0.33488173,0.56690298,0.37606295,0.33244501,0.32624308,0.33128172,0.79721542,0.66863593,0.70569542,0.79012126,0.80610771,0.75266631,0.65910116,0.68572694,0.78578204,0.80362675
50,0.45984266,0.41218812,0.40782126,0.27196071,0.22582875,0.2537881,0.34729594,0.29211234,0.3023485,0.84557695,0.76829283,0.73121293,0.63432913,0.44828586,0.44448973,0.46042092,0.43455126,0.60335966,0.49073761,0.46217731,0.43001016,0.43517145,0.61707454,0.32644633,0.27157846,0.2407872,0.25655395,0.56791489,0.33730744,0.29457278,0.25260162,0.25889869,0.59922269,0.36001734,0.31945407,0.32145998,0.33025002,0.56636445,0.37418606,0.3267814,0.32015797,0.33100151,0.79392135,0.65969997,0.69220634,0.78021681,0.79814597,0.74617904,0.65035953,0.67792216,0.77552475,0.79039411
51,0.45913628,0.40419155,0.41027189,0.27014817,0.2188637,0.25476831,0.34730679,0.28955453,0.2981075,0.83543802,0.7591542,0.72386296,0.63867411,0.44474711,0.44710824,0.45225587,0.44078834,0.59567226,0.48119626,0.45632024,0.42869225,0.43918914,0.61550858,0.32807795,0.26075236,0.23753469,0.25417461,0.56768732,0.33361391,0.289843,0.24743262,0.25539274,0.59223035,0.35661487,0.31230641,0.31728758,0.32827236,0.55907767,0.3667194,0.32389351,0.31574057,0.32921431,0.7911708,0.65559431,0.69102825,0.77300829,0.7924314,0.74292018,0.63773205,0.66838757,0.77046561,0.78398497
52,0.45236339,0.4126479,0.44430218,0.2664627,0.21643062,0.24392371,0.33403282,0.2807155,0.29020745,0.8245412,0.75016922,0.71375252,0.63077637,0.44130976,0.43678282,0.45531989,0.43098175,0.60465276,0.48336543,0.45323759,0.42916114,0.42905496,0.60433578,0.3206492,0.25634143,0.23361999,0.24670105,0.55557031,0.32786846,0.2875116,0.24587274,0.2488105,0.58684827,0.34956511,0.30704135,0.31136335,0.31261601,0.55353546,0.36484612,0.31787889,0.30977895,0.3188516,0.78227911,0.64191615,0.6787518,0.76988973,0.78406072,0.73422478,0.63356111,0.65674777,0.759087,0.7735319
53,0.45646689,0.4026035,0.42323108,0.26650411,0.21192826,0.24127848,0.33038539,0.28110514,0.28954127,0.81864177,0.74377363,0.70259204,0.6229708,0.4465477,0.43606788,0.45638868,0.43088022,0.59410161,0.48407647,0.45397546,0.42452231,0.43364429,0.60506055,0.31737499,0.25623023,0.23153668,0.24210977,0.55788565,0.32452652,0.28439686,0.24277951,0.24879862,0.58364109,0.34729543,0.30203873,0.30435531,0.31725552,0.55743785,0.35832149,0.31665078,0.30834318,0.31462825,0.7798556,0.63971529,0.67166964,0.75792218,0.77492887,0.7313833,0.62698608,0.65024526,0.75075463,0.76613235
54,0.44692205,0.39968469,0.4021216,0.26100728,0.20779286,0.23452821,0.32301486,0.26872435,0.27859796,0.80785061,0.72871249,0.69405925,0.62396562,0.43222979,0.42868977,0.44787742,0.43009152,0.58333192,0.47868942,0.44519097,0.42048076,0.42772442,0.59763915,0.31007174,0.24609918,0.21945997,0.23812756,0.5507907,0.32048852,0.27570036,0.23469763,0.24735999,0.57778785,0.34026661,0.29602088,0.30193784,0.30932888,0.54987271,0.3530811,0.30351675,0.30394588,0.30255317,0.77645197,0.62352519,0.65998064,0.74887206,0.77230144,0.71968164,0.61773243,0.63865901,0.74443841,0.75493822
55,0.45121519,0.39253064,0.39677513,0.25429243,0.20185513,0.22967542,0.31797515,0.26715288,0.2789971,0.80457884,0.72275512,0.68892183,0.61892966,0.43128979,0.42957909,0.44210171,0.42661245,0.57955616,0.47497004,0.45246275,0.42622001,0.41967653,0.58847725,0.30490955,0.24556516,0.21943439,0.23473604,0.54195971,0.32006709,0.26902699,0.23104209,0.23630761,0.57330129,0.33347523,0.290071,0.29212998,0.30072676,0.54370719,0.34501956,0.29913547,0.29914535,0.29928219,0.768903,0.62026485,0.64997455,0.7417944,0.75800851,0.72304792,0.60941513,0.63401937,0.73389968,0.74620058
56,0.44274466,0.39167192,0.38545057,0.25421621,0.19613977,0.2265411,0.3106639,0.25979863,0.2732449,0.7980301,0.71034462,0.67343353,0.61509974,0.437022,0.42394047,0.44296887,0.41839988,0.57144639,0.46545361,0.44313362,0.41587544,0.41967812,0.58259385,0.30100107,0.23707823,0.21602642,0.23049918,0.53740483,0.31056859,0.26421795,0.22710599,0.22886003,0.56700152,0.32773549,0.2852072,0.28833624,0.29602113,0.535641,0.34100202,0.29603281,0.28836168,0.29169993,0.76218605,0.61382587,0.6401901,0.72967862,0.7505257,0.71346242,0.60011703,0.6218483,0.72348637,0.7402985
57,0.44182412,0.38820624,0.38525841,0.24531286,0.19131911,0.2210877,0.308317,0.25616905,0.26583241,0.78815101,0.69903869,0.66472762,0.6110652,0.42063135,0.41641752,0.43507528,0.41802828,0.57104927,0.4626417,0.43449439,0.41194109,0.41153218,0.57796334,0.29710437,0.24146899,0.21408542,0.2271784,0.53341407,0.30963297,0.26128964,0.223927,0.22818436,0.56316378,0.3263634,0.28117444,0.28390655,0.29459818,0.53195589,0.336424,0.29138166,0.28728387,0.2891005,0.7592045,0.60126514,0.63069647,0.72513977,0.74054306,0.70873961,0.58875828,0.61390589,0.7183699,0.73282035
58,0.43310178,0.38284892,0.39217769,0.24488436,0.19376562,0.22237454,0.30437517,0.25106985,0.2636955,0.78207096,0.698039,0.66346958,0.60484945,0.42258355,0.4205016,0.43508273,0.42149848,0.56372208,0.46358721,0.44003632,0.41115294,0.41895207,0.57363961,0.29329779,0.23327856,0.21120944,0.22415803,0.52773573,0.30060584,0.25641599,0.22399007,0.22218997,0.55837829,0.32259601,0.27728739,0.27776554,0.28792974,0.53179167,0.33414147,0.28617185,0.28063271,0.28677057,0.75607374,0.59859099,0.62538099,0.72000304,0.74048345,0.70793424,0.58308403,0.61428828,0.71256672,0.72857272
59,0.43737719,0.38192814,0.38244606,0.23898147,0.18922348,0.2182788,0.2997537,0.24161936,0.25399438,0.77083815,0.68921381,0.64917267,0.59630958,0.41995133,0.4228572,0.43544769,0.41216098,0.570012,0.46253426,0.43835155,0.41663804,0.40959999,0.56727266,0.29071795,0.22697097,0.20685639,0.21687015,0.52414641,0.29138399,0.25174153,0.21557766,0.2190549,0.5564042,0.31704305,0.27023546,0.27284119,0.28084847,0.52612132,0.32933529,0.28306484,0.27872724,0.28442755,0.74836303,0.58618207,0.61525838,0.70530321,0.724985,0.69990836,0.57735763,0.59865598,0.70026317,0.71589016
60,0.44633615,0.38663281,0.37869092,0.23743148,0.18385811,0.21344915,0.29221679,0.24332919,0.2478989,0.76779046,0.678144,0.64166121,0.59848506,0.4214038,0.41870238,0.43904535,0.41379981,0.57189239,0.45778163,0.43233295,0.40609169,0.40751048,0.56364972,0.29014339,0.22682912,0.20273626,0.21293418,0.51763261,0.2937328,0.24843649,0.2132693,0.21801701,0.55126427,0.30963462,0.27090933,0.26732349,0.27822762,0.52283872,0.32221863,0.27887377,0.27126758,0.27856539,0.7427424,0.58139168,0.60317696,0.69674975,0.71975161,0.69576843,0.57013233,0.59158048,0.69633106,0.7077327
61,0.43331652,0.39047292,0.37602447,0.23602643,0.18536781,0.20710928,0.29311804,0.23820827,0.24770935,0.751833,0.67228276,0.63114432,0.60336184,0.41598372,0.41566535,0.4270801,0.41678423,0.57684838,0.4552232,0.42801108,0.41309995,0.41278292,0.56073134,0.28271917,0.2197877,0.20173607,0.21369226,0.51201255,0.29148867,0.24621985,0.20864777,0.21749843,0.55002282,0.30727533,0.26491038,0.26862862,0.27125002,0.52026567,0.32250043,0.27562342,0.26414907,0.27383812,0.74064961,0.57619693,0.59872679,0.68863491,0.71321707,0.69231814,0.56064588,0.58027224,0.68330204,0.69597563
62,0.43226928,0.38795308,0.37492972,0.23325871,0.17862376,0.20272181,0.28788685,0.23258341,0.24437532,0.75518804,0.66486618,0.62716592,0.59539926,0.42250202,0.42392676,0.43652316,0.41318631,0.56166381,0.453436,0.43321431,0.41172492,0.41297788,0.55774658,0.27883152,0.21915722,0.19450518,0.20637867,0.51087929,0.28606726,0.24000651,0.20820622,0.21255883,0.54584826,0.29931883,0.26328911,0.26434515,0.27215852,0.51833679,0.31255631,0.27504892,0.26329151,0.27153935,0.74273702,0.56879637,0.59595623,0.69147973,0.70760707,0.68883662,0.55570371,0.58089973,0.67843207,0.6988218
63,0.43681562,0.3745468,0.37615046,0.23068504,0.17947572,0.19844716,0.2798414,0.23147271,0.23677199,0.74055667,0.65672458,0.62002552,0.58831707,0.40860553,0.41439036,0.42784568,0.40851181,0.55290168,0.46420022,0.42541876,0.40883866,0.40684795,0.55229577,0.27226522,0.21312263,0.19070646,0.20723903,0.50924924,0.2814401,0.23860105,0.20655247,0.20836377,0.54154355,0.30138857,0.25523278,0.25352062,0.26689519,0.51004901,0.30981995,0.26495343,0.25627493,0.26114269,0.73808751,0.563028,0.5845045,0.67866419,0.70283133,0.68746085,0.5465724,0.56750775,0.67248559,0.68980276
64,0.43385148,0.37693516,0.38268142,0.22871019,0.17485936,0.20337079,0.27908756,0.22296828,0.23635387,0.74160273,0.65243115,0.61448714,0.59185037,0.41039668,0.41488492,0.42328549,0.40788147,0.56310775,0.4551897,0.4232121,0.40833221,0.40882044,0.55413365,0.27203942,0.21702053,0.18988713,0.20954839,0.50642119,0.27830574,0.23662967,0.2031816,0.21172334,0.53943579,0.29902236,0.25269871,0.25297991,0.26100942,0.50994213,0.30921207,0.26222182,0.25849184,0.26087171,0.73339707,0.55877748,0.57589228,0.67631002,0.69625823,0.68479975,0.54933489,0.56585236,0.66370297,0.67894361
65,0.42443394,0.37027942,0.36720105,0.2253956,0.1712321,0.19247298,0.27461709,0.22409942,0.23156785,0.7300237,0.64262517,0.60003352,0.58748788,0.40851264,0.40213002,0.42244209,0.40607359,0.5447688,0.44495497,0.42124048,0.39972996,0.40744531,0.54229626,0.26352851,0.20923271,0.18675903,0.20030825,0.49642436,0.27487326,0.2284237,0.19971212,0.19925565,0.53362237,0.29226114,0.24821419,0.24828232,0.26000591,0.50299444,0.30578143,0.25801102,0.25081923,0.25811172,0.72722227,0.54839622,0.56880317,0.6639935,0.68904341,0.68017358,0.53693908,0.5598238,0.65469998,0.67551608
66,0.4274814,0.36875643,0.36809093,0.21870013,0.17079259,0.1917912,0.26788929,0.2177898,0.22677696,0.72520669,0.63442177,0.59352417,0.58257252,0.40540973,0.40430931,0.42547434,0.40643351,0.55260034,0.44597616,0.42033452,0.39917869,0.4021724,0.54092639,0.26425035,0.2057213,0.18341006,0.19565314,0.49738252,0.26983524,0.23240871,0.19761618,0.20205188,0.53121224,0.29073313,0.24496219,0.24690493,0.25321374,0.50126605,0.30186226,0.25590781,0.2488725,0.25373525,0.71969791,0.54609574,0.56536217,0.65360791,0.67769834,0.6773244,0.53290148,0.54568025,0.65174015,0.66868518
67,0.4198162,0.36660179,0.36400209,0.2166822,0.16627572,0.18895478,0.26294608,0.21085266,0.22146663,0.71840911,0.62693447,0.58421256,0.58460619,0.39999004,0.40450972,0.42287108,0.40625107,0.54014973,0.43732478,0.41275068,0.39598217,0.39262014,0.5336151,0.25789553,0.20080728,0.17470756,0.193052,0.48895149,0.27002768,0.22061288,0.18995275,0.19658235,0.52510024,0.28388003,0.23765357,0.23627719,0.24665505,0.49673213,0.29265526,0.25152721,0.24106297,0.24609147,0.71883852,0.5314427,0.5567722,0.64712347,0.66959974,0.66851267,0.52158981,0.54205841,0.63980338,0.65465451
68,0.4254921,0.37194792,0.36755715,0.21853129,0.16787999,0.18830942,0.26091417,0.20981689,0.22269203,0.71289913,0.62131757,0.58025709,0.58457728,0.41236969,0.4067431,0.42670974,0.40159828,0.54865455,0.45019816,0.4187431,0.39989248,0.40101012,0.53285994,0.26040919,0.19877569,0.17707786,0.19379539,0.49169045,0.271227,0.22716513,0.19069655,0.19728256,0.52700661,0.28380399,0.23940558,0.24113011,0.2486623,0.49613547,0.29423596,0.24855194,0.24143908,0.24824307,0.71822731,0.52667484,0.54558804,0.64349052,0.66534969,0.66757517,0.51858066,0.5350737,0.63484093,0.65534185
69,0.43071565,0.36697437,0.3748698,0.21576029,0.16149567,0.18650508,0.25709351,0.21284611,0.21887736,0.70776219,0.61445961,0.57289599,0.57696133,0.41465706,0.40633677,0.4247209,0.40628285,0.54852001,0.44542508,0.41687254,0.40285176,0.40397525,0.53102539,0.25083998,0.19531401,0.17605503,0.1898972,0.48599241,0.26135135,0.2205009,0.18786838,0.19474286,0.52800084,0.28045619,0.23489909,0.23325191,0.24541936,0.49585613,0.29259561,0.24971577,0.23680218,0.24220465,0.71651319,0.51900538,0.53863364,0.63495896,0.66143911,0.65921861,0.50800502,0.52823518,0.62709948,0.64597854
70,0.42704832,0.36877839,0.361298,0.21170987,0.16107805,0.1830431,0.25537562,0.20707858,0.21677013,0.6978018,0.60859598,0.5665137,0.57593269,0.42796252,0.39959691,0.42227982,0.40418469,0.54671393,0.44124064,0.41803538,0.39337118,0.39913199,0.52570497,0.25311806,0.19484037,0.17658037,0.18673219,0.48358761,0.2609761,0.22141127,0.18586964,0.18916554,0.51938814,0.27370899,0.23053643,0.2320465,0.2416807,0.49017874,0.28854284,0.24624074,0.23431243,0.23956367,0.70999823,0.51652339,0.5310806,0.62487446,0.65255667,0.6608083,0.50441002,0.52457434,0.62370319,0.6344272
71,0.41666436,0.36048073,0.35702948,0.2109178,0.15883124,0.17824333,0.24604527,0.19942276,0.20766559,0.69057954,0.59854647,0.55534673,0.56837475,0.39724084,0.39962325,0.4109717,0.39693166,0.5391399,0.4328798,0.40959435,0.38676589,0.39202941,0.51832677,0.2443678,0.18973526,0.17026975,0.18725684,0.47694608,0.25585567,0.21197734,0.18171425,0.18654774,0.51516372,0.26947862,0.22481998,0.22565635,0.23575907,0.48418294,0.28273419,0.23643447,0.22748209,0.23403919,0.70335599,0.50541489,0.52601608,0.62029151,0.64128388,0.65204783,0.49681673,0.50994804,0.61331428,0.63299506
