epoch,relu-lr1e-2-train,gelu-lr1e-2-train,silu-lr1e-2-train,relu-lr1e-3-train,gelu-lr1e-3-train,silu-lr1e-3-train,relu-lr1e-4-train,gelu-lr1e-4-train,silu-lr1e-4-train,relu-lr1e-5-train,gelu-lr1e-5-train,silu-lr1e-5-train,zailusigma0.1-lr1e-2-train,zailusigma0.5-lr1e-2-train,zailusigma1.0-lr1e-2-train,zailusigma5.0-lr1e-2-train,zailusigma10.0-lr1e-2-train,zailuapproxsigma0.1-lr1e-2-train,zailuapproxsigma0.5-lr1e-2-train,zailuapproxsigma1.0-lr1e-2-train,zailuapproxsigma5.0-lr1e-2-train,zailuapproxsigma10.0-lr1e-2-train,zailusigma0.1-lr1e-3-train,zailusigma0.5-lr1e-3-train,zailusigma1.0-lr1e-3-train,zailusigma5.0-lr1e-3-train,zailusigma10.0-lr1e-3-train,zailuapproxsigma0.1-lr1e-3-train,zailuapproxsigma0.5-lr1e-3-train,zailuapproxsigma1.0-lr1e-3-train,zailuapproxsigma5.0-lr1e-3-train,zailuapproxsigma10.0-lr1e-3-train,zailusigma0.1-lr1e-4-train,zailusigma0.5-lr1e-4-train,zailusigma1.0-lr1e-4-train,zailusigma5.0-lr1e-4-train,zailusigma10.0-lr1e-4-train,zailuapproxsigma0.1-lr1e-4-train,zailuapproxsigma0.5-lr1e-4-train,zailuapproxsigma1.0-lr1e-4-train,zailuapproxsigma5.0-lr1e-4-train,zailuapproxsigma10.0-lr1e-4-train,zailusigma0.1-lr1e-5-train,zailusigma0.5-lr1e-5-train,zailusigma1.0-lr1e-5-train,zailusigma5.0-lr1e-5-train,zailusigma10.0-lr1e-5-train,zailuapproxsigma0.1-lr1e-5-train,zailuapproxsigma0.5-lr1e-5-train,zailuapproxsigma1.0-lr1e-5-train,zailuapproxsigma5.0-lr1e-5-train,zailuapproxsigma10.0-lr1e-5-train
31,1.77156229,1.9294609,2.1110604,0.97069575,1.00965775,1.228884,1.27738111,1.04483439,1.16081621,2.59741021,2.50147853,2.43994475,2.27730739,1.82446285,1.90869269,1.84102632,1.83876527,2.211589,1.94733611,1.87398577,1.89294559,1.84124709,2.45392627,1.60164764,1.2178784,0.93198539,0.92053883,2.25203291,1.63565745,1.29055119,0.98172528,0.92831245,2.12620796,1.41945472,1.2426372,1.20528066,1.25069979,2.02203984,1.42219645,1.30354859,1.21153867,1.22933409,2.35238241,2.19726937,2.31796522,2.54783718,2.62027414,2.26215224,2.21553502,2.28065217,2.51278236,2.54708674
32,1.74505776,1.94171664,2.09374178,0.9206003,0.94859171,1.19088992,1.24064366,1.00698454,1.11196563,2.57022852,2.47230461,2.4108411,2.24553575,1.81885226,1.870537,1.81507954,1.81561403,2.1730966,1.91505338,1.84941627,1.86406719,1.80691124,2.41741936,1.56632367,1.17940852,0.87639179,0.88143229,2.21175031,1.59981346,1.24951808,0.94209344,0.88166089,2.10780738,1.37324706,1.20518659,1.16993022,1.20825022,1.9954991,1.3904806,1.26762033,1.17447293,1.18544525,2.33451913,2.17479221,2.28418941,2.52222945,2.5971345,2.24405543,2.1910217,2.24720587,2.48517994,2.52147329
33,1.73681032,1.9164638,2.07007474,0.88247763,0.91373733,1.16481318,1.20259468,0.95500762,1.07663054,2.54270964,2.44216465,2.37259515,2.22284808,1.78934549,1.85604269,1.79291364,1.79465196,2.15097056,1.90331354,1.82550911,1.85011325,1.79041779,2.38973426,1.54418593,1.14495053,0.8353849,0.84743998,2.18621805,1.57744097,1.21656786,0.89701321,0.84810757,2.0862703,1.35377173,1.17077113,1.12594329,1.17529353,1.97715763,1.36567155,1.23809451,1.13294874,1.14979881,2.31821448,2.14266776,2.25882903,2.48873711,2.56701094,2.22723561,2.16807858,2.21858758,2.46461174,2.4976216
34,1.71376018,1.89452215,2.03541038,0.83619857,0.86998799,1.11674984,1.16825739,0.91233913,1.02812797,2.51383606,2.41079556,2.34941969,2.2032405,1.76381727,1.82267652,1.76977464,1.76520573,2.14027341,1.8841051,1.80113084,1.82971908,1.76394426,2.36017431,1.49680573,1.09724522,0.78381234,0.80637419,2.15112195,1.53605334,1.16563999,0.85213801,0.79464034,2.06678767,1.31635866,1.1269436,1.08647999,1.13749036,1.9513691,1.32461712,1.19635872,1.09383187,1.09879192,2.30083917,2.10855775,2.22982749,2.46392822,2.54440374,2.20853376,2.13408419,2.1848206,2.43013204,2.47131876
35,1.69294775,1.86001142,1.99701307,0.79774075,0.8328846,1.08271419,1.12580749,0.86264198,0.98335104,2.48867457,2.38842073,2.31983708,2.18258376,1.72831491,1.80244181,1.7612384,1.75089357,2.12058105,1.85464205,1.79253899,1.80480101,1.74145422,2.34105599,1.46830919,1.05587151,0.75117607,0.76704596,2.12496414,1.5090735,1.12920986,0.81802054,0.755002,2.04758628,1.28898732,1.09015826,1.03883747,1.09778709,1.93657214,1.29358861,1.1579632,1.06473014,1.06234876,2.28273307,2.07860452,2.1998502,2.43976718,2.52044762,2.19325943,2.10600251,2.15874048,2.40183293,2.43752113
36,1.68391786,1.84771417,1.97611937,0.76540266,0.80664267,1.04460763,1.09715211,0.83051449,0.96241311,2.463029,2.35931562,2.29539493,2.17454414,1.73109181,1.79217996,1.74178934,1.73445831,2.10553978,1.8475856,1.78174434,1.7982661,1.72963592,2.3180145,1.44710202,1.02635259,0.71528667,0.73845203,2.10182002,1.47807308,1.09963671,0.78086874,0.72200395,2.04011872,1.26018908,1.05852093,1.01426927,1.06171987,1.9255962,1.27327649,1.13093506,1.02017817,1.03395112,2.28256704,2.05985522,2.16912379,2.40886266,2.49773521,2.18291853,2.08279898,2.1336743,2.38087383,2.42583509
37,1.67574307,1.83184032,1.98988649,0.72160429,0.7553145,1.00220729,1.05163813,0.7775074,0.91309748,2.44091848,2.32528831,2.26030284,2.15781062,1.70922338,1.77096268,1.72186365,1.71232979,2.08924335,1.83374801,1.74805069,1.78667254,1.70797132,2.28985388,1.41237502,0.99592283,0.66766565,0.69054947,2.07545167,1.44798664,1.05759859,0.7365613,0.68719526,2.01821602,1.2186202,1.02271172,0.97210662,1.01514867,1.90314833,1.23078002,1.0882647,0.98758559,0.98656362,2.25941751,2.02451324,2.14531902,2.38279982,2.46611248,2.16409645,2.05270913,2.11212544,2.35581761,2.39831375
38,1.65832893,1.79838748,1.94224305,0.69862413,0.72575859,0.99783138,1.02426322,0.74383886,0.88326747,2.4145397,2.30013225,2.23459844,2.12886604,1.67331836,1.75402679,1.71369598,1.70570105,2.07256933,1.81021,1.73565339,1.76232166,1.69614958,2.26275083,1.37914007,0.96204415,0.6390325,0.66110028,2.04378184,1.42265636,1.01336358,0.71179542,0.65537483,1.99564752,1.19279281,0.98707873,0.93624326,0.98623633,1.88130554,1.2075719,1.05927237,0.94979447,0.95707244,2.24658513,1.99870234,2.11301686,2.36093153,2.44020548,2.14859986,2.02233953,2.07420114,2.32744965,2.37807848
39,1.6388822,1.79332764,1.90446168,0.65599852,0.69268714,0.9700549,0.9841919,0.70992682,0.83960554,2.38367317,2.26743113,2.20355481,2.11937864,1.66211907,1.72999762,1.69933218,1.69092437,2.05857774,1.80419774,1.71987448,1.75726589,1.68351176,2.23847781,1.35223889,0.92941735,0.60175953,0.62821684,2.0185752,1.39091162,0.97751536,0.66658965,0.62111278,1.98113958,1.16891897,0.94202335,0.90018065,0.94848417,1.86771007,1.17565672,1.02017662,0.91117229,0.91344544,2.22880358,1.97182874,2.0806447,2.33369348,2.41190587,2.13165931,1.99122511,2.04524131,2.29385559,2.34364668
40,1.62784453,1.78236652,1.91309673,0.63415608,0.66267741,0.91121662,0.9537353,0.67299535,0.80539691,2.37333253,2.24022707,2.18175812,2.1078466,1.6420679,1.72257531,1.67872773,1.67213118,2.04969237,1.78314052,1.7087809,1.72717691,1.66506139,2.21089089,1.32350388,0.89387683,0.57511612,0.59766528,1.99023771,1.35624351,0.94607197,0.63752388,0.59928013,1.96537656,1.13071957,0.90971219,0.86377251,0.91910575,1.84575102,1.14235302,0.99458819,0.87272381,0.88609455,2.21083391,1.9454071,2.05518223,2.30744493,2.39046647,2.11119088,1.96801771,2.02379082,2.27013621,2.31840366
41,1.61956832,1.77547793,1.94671216,0.61448866,0.62041633,0.8858117,0.92677918,0.6408226,0.77131379,2.3472835,2.22266368,2.1522705,2.09361297,1.64148832,1.7043542,1.66406185,1.66475243,2.03618613,1.76636847,1.68798419,1.71708593,1.6550805,2.19156076,1.29367786,0.86259533,0.54030704,0.57674417,1.96946261,1.338663,0.91048072,0.60143849,0.5695062,1.94455991,1.10819439,0.87832662,0.82593353,0.88558483,1.83727788,1.11730278,0.95671654,0.85542106,0.85848466,2.20638664,1.91865787,2.03177578,2.28561716,2.36934913,2.10546016,1.95324115,1.9997862,2.25459776,2.30280846
42,1.60759253,1.75978498,1.90790902,0.58864678,0.58535572,0.83999495,0.88506144,0.61856629,0.74322843,2.31847513,2.18489467,2.12867136,2.06457747,1.61343593,1.68072028,1.64738894,1.64680485,2.01779803,1.74748868,1.67562335,1.70921002,1.63188609,2.16897748,1.26805226,0.83415937,0.52338454,0.54558844,1.94797452,1.30576089,0.87993803,0.58616873,0.54151665,1.93393702,1.07465728,0.8501012,0.79800672,0.84742053,1.81603803,1.08731373,0.92517527,0.81374502,0.8204505,2.18873397,1.89393051,2.01038262,2.26118157,2.34719262,2.08758099,1.91732737,1.97233591,2.22920764,2.27595191
43,1.58494993,1.73313537,1.87736804,0.56490285,0.55300633,0.80702294,0.8501614,0.58341368,0.70474587,2.30050594,2.15707082,2.09667935,2.04990689,1.59294304,1.65983932,1.62711703,1.63266736,1.9899617,1.74054954,1.66399098,1.69032364,1.61601333,2.14109516,1.24076275,0.80318968,0.49194699,0.52717346,1.92112219,1.28084694,0.8478055,0.55299375,0.51336381,1.91241523,1.04598759,0.8123457,0.76167437,0.81697692,1.79267217,1.05565813,0.89511435,0.78416526,0.7810702,2.17189956,1.85898795,1.97612138,2.23730233,2.31883826,2.07036102,1.88721715,1.93997415,2.19846439,2.25284734
44,1.58754509,1.72415922,1.8509905,0.55468278,0.542161,0.78134154,0.82949284,0.5586719,0.68842495,2.27536734,2.13682129,2.06988543,2.05284634,1.58621903,1.65905651,1.62593587,1.62504347,1.99594327,1.73798866,1.66585462,1.67752503,1.61445279,2.12301458,1.22108796,0.77708535,0.48687379,0.5163082,1.90255797,1.26019512,0.8261177,0.53444823,0.5018053,1.90110104,1.02772241,0.78956324,0.73233811,0.78987287,1.78404662,1.03518976,0.86976181,0.75591857,0.7624038,2.16616148,1.83833724,1.9452051,2.21274979,2.29665151,2.06037159,1.86629646,1.91354873,2.17175668,2.22839597
45,1.57702471,1.68980941,1.83457728,0.51807385,0.49691979,0.7423085,0.79514769,0.52692806,0.64626428,2.24921422,2.10708544,2.02950235,2.02979313,1.5507351,1.63982759,1.60540639,1.60330679,1.99548481,1.71735245,1.64273008,1.66928903,1.59462139,2.09632775,1.18199772,0.7437673,0.45593687,0.48164251,1.88046749,1.22586142,0.78659002,0.50754492,0.47914339,1.88505565,0.98740784,0.75700656,0.70213154,0.75912198,1.77162203,0.99745198,0.82941958,0.71515565,0.72659741,2.15028384,1.80891929,1.92247392,2.18063186,2.27148445,2.04551318,1.8371456,1.88380398,2.15027352,2.20265173
46,1.56148172,1.676218,1.80634326,0.50467875,0.48958838,0.71605881,0.76219126,0.51300551,0.62504062,2.23617659,2.08653358,2.01721301,2.02906002,1.54179959,1.63486474,1.59528486,1.60274326,1.9719197,1.70937914,1.63587892,1.6536898,1.58798764,2.0823176,1.16634972,0.74136455,0.44079293,0.47229546,1.85879015,1.20687225,0.75651682,0.49132366,0.46276176,1.87791571,0.96273676,0.72884264,0.68001038,0.74067732,1.75338504,0.973217,0.80883126,0.69869158,0.70410809,2.13552365,1.78709986,1.89546366,2.16109833,2.25578206,2.02934184,1.81728877,1.86396424,2.12954788,2.18595397
47,1.55368722,1.65932477,1.81826085,0.48210174,0.46258071,0.69062962,0.73645559,0.48567453,0.60038086,2.20494152,2.05711802,1.98163576,2.0052226,1.52765124,1.61698351,1.57289704,1.58647769,1.96930667,1.68309172,1.61935715,1.63850222,1.56659025,2.05224161,1.13236416,0.69095195,0.42414097,0.44827513,1.8360168,1.17848838,0.72933999,0.46720525,0.4438404,1.85477992,0.932768,0.69655524,0.64929493,0.70482557,1.73329352,0.94894455,0.77932067,0.66684359,0.67203134,2.12562052,1.75579479,1.85957153,2.13796368,2.22529412,2.01706057,1.79256033,1.83412161,2.09857565,2.16100111
48,1.53709334,1.65827947,1.79076513,0.47668305,0.43325886,0.67541899,0.71580884,0.46420493,0.57533559,2.18282877,2.03252917,1.95512851,1.99583025,1.51911277,1.59375789,1.56612918,1.57376596,1.95130164,1.6662161,1.60160383,1.62239072,1.55014353,2.02527661,1.10398973,0.6652424,0.40498905,0.44101662,1.81125433,1.15361334,0.70065896,0.44957912,0.42016808,1.83508687,0.91059795,0.67542498,0.61931265,0.68212453,1.71654365,0.92291979,0.75614237,0.64467787,0.64120105,2.11383479,1.72894664,1.83973157,2.10548042,2.20683817,1.99667915,1.75959439,1.80303551,2.07792185,2.13226135
49,1.53464852,1.68155885,1.75667542,0.45270497,0.42480439,0.68838682,0.68776071,0.44283817,0.5489334,2.1642322,2.00239243,1.93859428,1.97946916,1.50588202,1.57966528,1.56121757,1.56548966,1.95251332,1.67001823,1.5903739,1.62551608,1.55203601,2.01332763,1.08660897,0.64145639,0.38343175,0.42386843,1.79043355,1.12821049,0.67228387,0.43371147,0.40718762,1.82855126,0.881089,0.64962687,0.60271746,0.64721992,1.7070076,0.8912859,0.72565291,0.61141095,0.6168267,2.10432496,1.70107925,1.81299043,2.09082342,2.17625316,1.99201879,1.73841408,1.78384325,2.05497572,2.11465843
50,1.52732928,1.63920468,1.75219534,0.43849163,0.40351419,0.62643729,0.66603692,0.42660824,0.53036384,2.14072317,1.97696553,1.90531433,1.97171961,1.48973613,1.57335935,1.5553963,1.55899022,1.92895272,1.67177617,1.59323249,1.60494479,1.54366496,1.99172112,1.06264205,0.62342919,0.37346727,0.41348094,1.77068982,1.10260422,0.65082625,0.42130965,0.40287853,1.81370849,0.85815928,0.624614,0.57989938,0.6272499,1.68839366,0.86829068,0.70080931,0.59804518,0.59613812,2.09407443,1.683472,1.78915241,2.06309798,2.15252114,1.98093709,1.71606184,1.75462686,2.02918193,2.08861648
51,1.51126666,1.6172717,1.74071345,0.4229886,0.38537673,0.59886052,0.63225014,0.40536219,0.50084185,2.12148477,1.95494448,1.86883062,1.9525738,1.47729521,1.5700063,1.53961714,1.54445372,1.91421883,1.64251049,1.57850045,1.59397868,1.53020341,1.96527581,1.02792334,0.59102457,0.35757078,0.3994223,1.74564142,1.07518439,0.62008903,0.3993553,0.37697802,1.79532242,0.83125193,0.59621007,0.54805327,0.59561699,1.66870478,0.83882893,0.67086902,0.56650203,0.5705207,2.07531561,1.65093336,1.75355081,2.04326763,2.13008699,1.96120654,1.67871336,1.72278012,2.00039857,2.0658123
52,1.50614425,1.60940961,1.72761871,0.41647186,0.37375129,0.5772038,0.61315546,0.39596585,0.48463599,2.09357049,1.92581577,1.84194624,1.94934906,1.45475845,1.55570625,1.53590186,1.53444889,1.91964182,1.64171633,1.55822335,1.59512352,1.52004154,1.94820119,1.00724067,0.56853347,0.34762088,0.38772118,1.73798392,1.05545313,0.60502851,0.39347805,0.3741641,1.78237152,0.80968536,0.5787784,0.53703613,0.5836109,1.65694647,0.81335293,0.65194491,0.54834542,0.55010207,2.0617918,1.6240604,1.72819956,2.00886048,2.10304943,1.94152697,1.65845081,1.69674369,1.98515021,2.0390506
53,1.50188784,1.61061017,1.71081107,0.39849106,0.359234,0.5532063,0.60023923,0.38017557,0.47031742,2.07905444,1.90215462,1.81853215,1.93946324,1.44102261,1.54179996,1.52823618,1.53004631,1.90514365,1.61172038,1.55668973,1.58095769,1.50798244,1.9333508,0.99119541,0.55837863,0.34056735,0.37443305,1.7172192,1.03862797,0.59008196,0.38044444,0.35906396,1.76796833,0.78930968,0.56110475,0.52377585,0.56599521,1.64640516,0.80292594,0.63505608,0.52907029,0.5297452,2.0547025,1.59820892,1.71187954,1.99684595,2.09549145,1.93734255,1.63215022,1.67519764,1.95625327,2.02621528
54,1.49002391,1.58498444,1.71209415,0.39425871,0.35217638,0.52592114,0.58136632,0.36307897,0.45248488,2.05491529,1.86855652,1.79112369,1.91760284,1.42410216,1.52893394,1.51797178,1.52154189,1.89157542,1.6036111,1.53037483,1.57101534,1.4944567,1.90694587,0.96685046,0.53677204,0.32812654,0.36646699,1.69061037,1.01445904,0.56331064,0.36336392,0.34591704,1.75407825,0.75418935,0.53677047,0.49088418,0.53932305,1.62567707,0.76791257,0.61146426,0.51074507,0.51046634,2.03389814,1.57117107,1.674444,1.96854674,2.06675081,1.92275467,1.60255416,1.64428782,1.93415796,1.99753866
55,1.49261887,1.59662669,1.72898455,0.39207224,0.34511326,0.50602906,0.56206763,0.35997996,0.43882831,2.03910259,1.85412359,1.7691061,1.91663309,1.44328345,1.52286905,1.50785363,1.51576667,1.88707455,1.60980686,1.54150293,1.56418611,1.4998668,1.89071911,0.94501205,0.52800603,0.32173934,0.35689809,1.68418001,1.00485243,0.5469501,0.35686607,0.33849526,1.75547721,0.74664588,0.52203622,0.48810709,0.52892335,1.62749973,0.75719027,0.59411807,0.49954916,0.50307983,2.03837321,1.54602151,1.65706587,1.94903867,2.04762283,1.91646335,1.5861954,1.62742767,1.9170703,1.98251458
56,1.479939,1.57273404,1.66338042,0.3707321,0.32927741,0.49294566,0.5372221,0.3397051,0.42595259,2.02187857,1.82599627,1.74946008,1.9121642,1.41011009,1.51124173,1.4925355,1.50514273,1.8870617,1.60185034,1.53319668,1.55762759,1.48655692,1.87258437,0.92122969,0.50577696,0.31755461,0.34508115,1.66483788,0.97460501,0.52427726,0.34311972,0.33564777,1.73328901,0.71663694,0.50750077,0.4590536,0.50933443,1.60765928,0.72971657,0.57442518,0.48208922,0.48123593,2.01997121,1.52979061,1.62835044,1.93355188,2.02921984,1.90203077,1.5597774,1.59770865,1.89322451,1.96090194
57,1.47586671,1.54798769,1.67961047,0.35339608,0.32028287,0.47521714,0.51596761,0.3255063,0.40491204,1.99001914,1.7970807,1.71678248,1.89753031,1.39455832,1.50115659,1.48241712,1.49214013,1.86565495,1.59325484,1.510193,1.54303483,1.46258469,1.85116789,0.8983476,0.48463437,0.2962945,0.33248069,1.64303878,0.94148517,0.50491972,0.33363592,0.31931501,1.72248654,0.68534196,0.47881226,0.44631972,0.48377408,1.58915314,0.69901671,0.54967978,0.45854525,0.45677277,2.01173917,1.49785074,1.59553975,1.90390142,1.99415331,1.88762906,1.52611814,1.56881733,1.85934233,1.92990096
58,1.46887788,1.52985415,1.65031667,0.35366891,0.31809156,0.45821801,0.50862029,0.32222892,0.39248654,1.97150674,1.77232305,1.68641179,1.89906169,1.39347669,1.49448487,1.47785155,1.48714684,1.85249264,1.5927028,1.50231262,1.54492934,1.46687895,1.83472579,0.88252963,0.48007061,0.29802603,0.32503299,1.62659792,0.93378023,0.48810784,0.32383496,0.3220317,1.70862919,0.67599325,0.46626643,0.43492107,0.46866624,1.57913196,0.68522374,0.53655336,0.44920233,0.44914152,2.00889184,1.4759831,1.57283804,1.88315419,1.98846682,1.88016559,1.5170568,1.54397978,1.84770183,1.91783262
59,1.45516144,1.51005402,1.64480203,0.33633192,0.30805278,0.44134741,0.48790496,0.30506675,0.37696875,1.95676011,1.74631369,1.66252709,1.8680383,1.3737976,1.48531882,1.47490855,1.48536409,1.85020887,1.56430132,1.49247535,1.52672854,1.45878452,1.81251922,0.86066162,0.45274615,0.28460781,0.31925165,1.60702912,0.90115831,0.46589505,0.31804672,0.30613534,1.68714581,0.64813596,0.44683571,0.41535088,0.45850273,1.56741596,0.66498607,0.51281648,0.43429607,0.43781756,1.98728533,1.45055655,1.54999816,1.85819087,1.95950644,1.86142269,1.48467869,1.51457121,1.82162283,1.8925869
60,1.45163591,1.50594992,1.62521734,0.33812948,0.29677272,0.41994821,0.47110127,0.30066937,0.37120678,1.93624081,1.71448795,1.62890962,1.86098923,1.37808855,1.47192432,1.45873833,1.48389211,1.83999684,1.56212484,1.49498092,1.50772486,1.44524907,1.79402784,0.83887677,0.44294182,0.28139804,0.30647677,1.58405071,0.88253556,0.45290334,0.30909113,0.29838982,1.67915885,0.62951448,0.43279543,0.40496964,0.44650766,1.54916798,0.63951818,0.49783853,0.41933306,0.42047021,1.98199815,1.41504668,1.51953874,1.82854421,1.93100411,1.85091872,1.45608383,1.49172667,1.79410289,1.86833855
61,1.4601408,1.51133424,1.60198803,0.33325461,0.29080381,0.42179801,0.46441268,0.2960383,0.35963995,1.91550901,1.6943624,1.61265068,1.85419145,1.3640561,1.47328262,1.45711469,1.47605452,1.84375493,1.55517649,1.49033483,1.52070627,1.44726813,1.78685596,0.82054794,0.43187299,0.27756919,0.29867089,1.57406872,0.87460603,0.44290843,0.3069203,0.30065965,1.67168995,0.61889921,0.42382478,0.39792096,0.43362182,1.54665472,0.63505588,0.49023447,0.41423065,0.40692692,1.97198642,1.40584949,1.50099349,1.81627724,1.91747198,1.84209206,1.43735712,1.46888544,1.77443524,1.84704175
62,1.4446645,1.47710351,1.60761858,0.3209147,0.2821717,0.39003895,0.43948836,0.28507134,0.33944009,1.88731641,1.67156767,1.57819786,1.84701289,1.34563214,1.45174074,1.43180295,1.45792635,1.83066615,1.52855602,1.46827358,1.49610201,1.42703422,1.76583598,0.79433324,0.41322085,0.2598812,0.29933746,1.55063592,0.843268,0.4268963,0.29494369,0.28756792,1.65376506,0.59201163,0.40620673,0.38086147,0.41100539,1.51738718,0.60167862,0.46133291,0.39255145,0.39016573,1.95740051,1.37032562,1.46375378,1.79369601,1.89574427,1.82149933,1.41075646,1.43928496,1.75068231,1.82681187
63,1.42611649,1.50028618,1.57449263,0.31435874,0.27896592,0.38850549,0.43165843,0.271912,0.328362,1.87287205,1.64026631,1.5558825,1.83287173,1.33073881,1.45160594,1.42711799,1.45310997,1.83155408,1.53532424,1.46117099,1.4929386,1.42237799,1.7535948,0.77112317,0.40782362,0.25629645,0.29030912,1.54514089,0.82411985,0.41996373,0.28636591,0.28335382,1.65089833,0.57319844,0.39514564,0.37115267,0.40866219,1.5192175,0.59124895,0.45176163,0.38523227,0.38055139,1.94708209,1.34611449,1.4445889,1.77386038,1.87223546,1.81510842,1.38844833,1.4145652,1.72293253,1.80981957
64,1.42706096,1.49866727,1.5755233,0.30861625,0.27030231,0.37421734,0.42191183,0.26466049,0.32385679,1.84192161,1.62021594,1.52478431,1.82474123,1.34430048,1.4316764,1.41874969,1.45261515,1.79669084,1.52568284,1.44760706,1.48857971,1.41332682,1.72776887,0.75173847,0.38677077,0.24920989,0.28263767,1.51897897,0.80202281,0.40307189,0.27588029,0.26353964,1.62708994,0.55885865,0.38073495,0.35464809,0.39797818,1.49694036,0.57096735,0.43698293,0.37011329,0.36969576,1.93211814,1.31707935,1.41419072,1.74384753,1.84132388,1.79966957,1.36772212,1.39119963,1.70389788,1.78139185
65,1.42307751,1.47003147,1.5592531,0.29457982,0.26175463,0.36500542,0.40650307,0.25992423,0.31610894,1.8310589,1.59916762,1.49543656,1.83527204,1.30458361,1.42634711,1.4205477,1.44922358,1.80235481,1.51474566,1.44781638,1.48591671,1.4140038,1.71340852,0.74115208,0.37452691,0.24799709,0.27378975,1.50762998,0.78178599,0.39719053,0.2745595,0.26266765,1.61980803,0.54513492,0.3733528,0.34063545,0.38330618,1.48867931,0.55411974,0.43010325,0.35640936,0.35759392,1.92854968,1.29496015,1.39113388,1.72268798,1.83295031,1.79422338,1.33546019,1.36367328,1.68203803,1.76129636
66,1.41857059,1.49704998,1.54894716,0.29729133,0.26217609,0.35951032,0.40243916,0.25071028,0.30235295,1.81135467,1.56474874,1.47609515,1.82357968,1.30479891,1.41911442,1.41640569,1.43709334,1.81065314,1.51096264,1.43887731,1.47381691,1.40234898,1.70042975,0.72226007,0.37249128,0.24598529,0.26474144,1.49396483,0.75896754,0.38397442,0.26818362,0.25672977,1.612928,0.52559363,0.35865577,0.34340128,0.37281086,1.47756269,0.53311339,0.41135416,0.34798391,0.35298861,1.92129638,1.27202473,1.36704019,1.69879216,1.80911925,1.78004806,1.31253224,1.335576,1.65321044,1.74411092
67,1.40872616,1.44909063,1.53436201,0.29015783,0.25728113,0.34579191,0.38473271,0.24645057,0.29947175,1.78423741,1.54341778,1.4360464,1.79966067,1.30156901,1.40836552,1.40290208,1.42095738,1.78732936,1.50415284,1.43438871,1.45781299,1.38882687,1.67871186,0.69790879,0.36875611,0.23323811,0.25762857,1.47296721,0.74027046,0.37129931,0.25520051,0.25590814,1.59484552,0.51343756,0.34233351,0.32822996,0.36055939,1.4571446,0.51881347,0.39921037,0.3366046,0.3391103,1.90703294,1.24830824,1.33170268,1.67890824,1.78163782,1.76989481,1.28961315,1.31084116,1.63139151,1.71865393
68,1.40393864,1.43164969,1.51696804,0.27767492,0.25469225,0.33123841,0.37556601,0.23590049,0.2872651,1.77100582,1.52012135,1.41567018,1.80782064,1.29326023,1.40139164,1.40542888,1.42008038,1.78338709,1.50158913,1.42254863,1.45197926,1.39338919,1.66657641,0.68100506,0.35371103,0.22903218,0.25069315,1.45330176,0.72999695,0.36230828,0.25291502,0.24409655,1.58568398,0.49721043,0.33650236,0.32310181,0.34909004,1.44994585,0.5015821,0.3840583,0.33178915,0.32857731,1.90027634,1.2318743,1.31046435,1.66192339,1.77296563,1.76598209,1.27008741,1.29116964,1.61688713,1.70017093
69,1.41013074,1.4255504,1.48700775,0.27994299,0.24527987,0.33341478,0.37447885,0.23628879,0.28463795,1.75579233,1.49647542,1.39874875,1.78614533,1.29672071,1.4068358,1.40141387,1.43442234,1.78215965,1.49751287,1.42527761,1.44628998,1.38852175,1.65234759,0.67143559,0.34733023,0.23236423,0.25301319,1.44882909,0.72097976,0.35595694,0.24619526,0.24193268,1.57699256,0.48776115,0.33334919,0.31483567,0.34424989,1.43713347,0.49064618,0.39024608,0.32339615,0.32709587,1.89253476,1.20223543,1.28945419,1.63666277,1.74289027,1.75145439,1.25058455,1.26060775,1.59146,1.67495774
70,1.39225929,1.39645283,1.46867449,0.26599411,0.23594048,0.31657639,0.35394541,0.22930408,0.2744147,1.73319761,1.46298049,1.36715764,1.78591669,1.26127169,1.39005637,1.38431638,1.41911135,1.76255076,1.48890198,1.42649068,1.45133012,1.37461579,1.63459406,0.65342505,0.34488024,0.21764285,0.24245471,1.42970437,0.69783801,0.34755568,0.2421835,0.23403361,1.56149579,0.46352877,0.31786042,0.30550415,0.33419257,1.42971679,0.47679084,0.36507159,0.31467816,0.31566372,1.87928026,1.17698483,1.25897042,1.61177075,1.71806164,1.73550575,1.22556507,1.23557226,1.5599332,1.65629639
71,1.39459591,1.38908111,1.44345367,0.26384245,0.23871947,0.31025771,0.34808608,0.22351681,0.26829878,1.70883771,1.44227452,1.34094752,1.78586645,1.27848691,1.38957779,1.37651574,1.40874695,1.76288637,1.46907634,1.4002575,1.43034207,1.37364913,1.62880642,0.64159269,0.33280039,0.21688828,0.2414352,1.41817803,0.67523555,0.34764981,0.23408793,0.23056401,1.55243195,0.45794693,0.31882881,0.30205833,0.32806661,1.41211349,0.46371286,0.36410086,0.30850456,0.31241706,1.86861871,1.15667987,1.23472816,1.59529249,1.70329831,1.72549042,1.20179004,1.21404225,1.54429525,1.62906057
