epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
49,0.51157927,0.5297861,0.52594129,0.45153933,0.30499857,0.23518191,0.26660804,0.27715873,0.27305871,0.26625475
50,0.49873074,0.52449339,0.51620032,0.44396812,0.29458714,0.22787935,0.26054446,0.26598599,0.26308813,0.26035777
51,0.4923437,0.52195621,0.51424438,0.43814968,0.29003461,0.22030096,0.25519494,0.26316524,0.25439171,0.2507125
52,0.48789408,0.51362749,0.50332311,0.42397738,0.28214072,0.21119741,0.24988826,0.25551231,0.24764346,0.24506793
53,0.48137676,0.50032066,0.49262275,0.42132764,0.26871671,0.20687253,0.24358302,0.24485914,0.24277965,0.23365386
54,0.46946082,0.49356638,0.48850576,0.41477012,0.26244272,0.19667572,0.23542662,0.24111679,0.23391898,0.2327821
55,0.46390751,0.48734069,0.4843507,0.40593575,0.25819076,0.19530869,0.23143017,0.2325423,0.23148968,0.22091237
56,0.45508234,0.48278438,0.47950526,0.39521215,0.2489158,0.18667881,0.21751156,0.22766007,0.22500223,0.21724422
57,0.4495063,0.47599869,0.47045699,0.39450662,0.24321073,0.18583862,0.2181378,0.2252958,0.2183405,0.2101742
58,0.44650607,0.47133205,0.46283899,0.37858304,0.23246204,0.17763882,0.20976415,0.21407923,0.20957101,0.20638646
59,0.44172394,0.46235144,0.45654278,0.37691421,0.22875219,0.17223145,0.20737313,0.20976082,0.20809021,0.20262958
60,0.43172571,0.45477778,0.44847391,0.36731052,0.22053372,0.16853795,0.1961802,0.19834842,0.19836596,0.19045834
61,0.42421621,0.44466851,0.43962118,0.36007291,0.20698809,0.16305207,0.19719171,0.19843089,0.19160852,0.19007191
62,0.41657373,0.44181887,0.43047675,0.35631233,0.20508954,0.15901014,0.18772331,0.19592654,0.19137056,0.18127603
63,0.41392784,0.43544082,0.42653426,0.35115541,0.19947518,0.15278745,0.18517942,0.18720224,0.18866403,0.17744843
64,0.40441619,0.43475859,0.42657788,0.34123492,0.19152989,0.15200152,0.17853729,0.18539886,0.17719713,0.17162209
