epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
49,1.08139952,1.09414526,1.09986162,0.56610067,0.24396321,0.35769329,0.38423602,0.37023451,0.36511955,0.35938425
50,1.05828066,1.06448265,1.07544822,0.55189558,0.23267473,0.35449297,0.37379132,0.35963568,0.36282115,0.34953129
51,1.03406841,1.03936229,1.04969125,0.52673924,0.22858439,0.34042612,0.36279856,0.35049132,0.34197149,0.34167644
52,1.00983491,1.01490686,1.02443302,0.51167624,0.22484354,0.33039975,0.35680603,0.33347364,0.33009369,0.33427894
53,0.99432967,1.00348666,1.0180611,0.48846798,0.22044041,0.32815846,0.33919602,0.32627345,0.32957424,0.32367815
54,0.97120346,0.97313046,0.98169103,0.48071608,0.21609518,0.31114133,0.32812588,0.32392412,0.3177762,0.32177563
55,0.95506423,0.9521535,0.96404469,0.47667124,0.20859122,0.30591226,0.3315315,0.31893501,0.30993105,0.30680657
56,0.93369519,0.93373303,0.9488999,0.4524618,0.19618504,0.28855459,0.31830149,0.30498915,0.30446252,0.30827983
57,0.90326914,0.90096941,0.92941902,0.43843045,0.1969826,0.29547089,0.31023777,0.29984478,0.29908677,0.29152343
58,0.89351184,0.89689957,0.92161657,0.43888737,0.18793202,0.27982405,0.30220779,0.28941813,0.29090588,0.284599
59,0.85986608,0.87118094,0.88357448,0.41880849,0.18833658,0.27270018,0.29456152,0.28347103,0.29053834,0.27943939
60,0.84667529,0.8508345,0.86858874,0.41835438,0.18698878,0.27175553,0.29061973,0.27856542,0.2686135,0.2769087
61,0.82813775,0.82861756,0.85495587,0.39835906,0.17825378,0.26343396,0.28196929,0.27451515,0.27105419,0.26537108
62,0.80958692,0.81258006,0.83587595,0.39065639,0.18083413,0.24482377,0.27619497,0.27394112,0.26231901,0.25902916
63,0.79233588,0.7960985,0.81874855,0.3810307,0.16324215,0.24770103,0.2665127,0.25788662,0.25525422,0.24931663
64,0.78000731,0.77694899,0.79612782,0.37492499,0.16433171,0.24239087,0.25794132,0.24617232,0.25064809,0.24273719
65,0.76040259,0.75379764,0.77341889,0.36078849,0.16415322,0.24281017,0.2525418,0.25011756,0.25016791,0.24227228
66,0.73754446,0.74589168,0.75825696,0.3518773,0.16022243,0.22978927,0.24947818,0.2411364,0.24525812,0.23377553
67,0.71981426,0.7199136,0.74621103,0.33880344,0.1585411,0.2290649,0.24187612,0.23271078,0.2364483,0.22522669
68,0.70462499,0.69776744,0.72638212,0.32709401,0.15416986,0.22317431,0.2413306,0.23100138,0.22139524,0.22406291
69,0.69876877,0.69352437,0.71566706,0.32596931,0.14954259,0.21033556,0.23289546,0.22606991,0.21986308,0.22098479
70,0.67264523,0.67635561,0.69552275,0.31691534,0.14504675,0.21094074,0.22352451,0.21780382,0.21993307,0.21585511
71,0.65873012,0.64438571,0.68256473,0.31366499,0.14913924,0.20879478,0.21617295,0.20921897,0.21256322,0.20581141
72,0.64652047,0.64118317,0.67067608,0.30239807,0.13884922,0.20255593,0.21368798,0.19802177,0.20714205,0.19953707
73,0.63205393,0.61944393,0.65236547,0.2967951,0.12871088,0.19503563,0.21052485,0.20488526,0.20136257,0.20348607
74,0.61802716,0.61605443,0.64483169,0.28947275,0.12783678,0.19156417,0.20096519,0.20238922,0.19583271,0.19078113
75,0.6018711,0.58687291,0.62382164,0.28665259,0.13213923,0.19157381,0.19700597,0.19346679,0.19196677,0.1941956
76,0.58309315,0.57587832,0.60872567,0.27344082,0.1247842,0.17881495,0.19584796,0.18945333,0.18829994,0.18197678
77,0.5693368,0.57161149,0.59990189,0.27004931,0.1235055,0.17935224,0.18324672,0.17805829,0.18361863,0.17666362
78,0.56548777,0.55505315,0.58821644,0.25453542,0.11375341,0.16998686,0.18343666,0.18169947,0.17239003,0.18286232
79,0.54443044,0.53410309,0.56978272,0.25723678,0.11651552,0.16923257,0.1768072,0.17685104,0.17985867,0.17774574
80,0.53764621,0.5259104,0.55595826,0.2477295,0.1095646,0.16472822,0.17321713,0.1710669,0.16568216,0.16700206
81,0.51964512,0.51373741,0.54339737,0.24165307,0.11259019,0.15417327,0.16830442,0.1674971,0.16484619,0.15865535
82,0.51115258,0.50851487,0.52283856,0.23300464,0.10637831,0.15722674,0.16712978,0.16253943,0.15671939,0.15654167
83,0.49932205,0.49521711,0.52351575,0.22642163,0.09991383,0.14968553,0.16648885,0.15703354,0.16171212,0.15169157
84,0.48734846,0.47330281,0.50497001,0.22116825,0.10267708,0.15002817,0.15546648,0.15337603,0.15803066,0.15128498
85,0.47025348,0.46556719,0.49544796,0.2260474,0.0967142,0.14654157,0.14979859,0.1519551,0.14937308,0.15243411
86,0.46361349,0.4548502,0.47637272,0.21184778,0.09435288,0.13881198,0.1498553,0.14410916,0.147731,0.14680236
