epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
49,1.13660387,1.09739543,1.10150149,0.97384009,0.39032111,0.30892893,0.36332181,0.38111124,0.38045434,0.36841421
50,1.10998127,1.08188735,1.07866343,0.94948793,0.38241924,0.30349992,0.35902851,0.37008516,0.36664577,0.36164451
51,1.08593798,1.06515037,1.05606967,0.93062317,0.36974231,0.29872264,0.34543393,0.36093556,0.3540099,0.34900897
52,1.06368066,1.03063674,1.03345505,0.90092413,0.36162493,0.29939308,0.34276422,0.35484283,0.3441561,0.34376027
53,1.05148586,1.01999335,1.02436553,0.87350386,0.35433561,0.28007106,0.32882272,0.34255743,0.33154614,0.32426486
54,1.02156025,0.98947187,0.99434312,0.85673736,0.33841064,0.27948925,0.32062143,0.33004692,0.33090106,0.32577657
55,1.00327207,0.97883502,0.97186603,0.84088631,0.33614317,0.27723074,0.31344747,0.3192041,0.31994037,0.31147345
56,0.97718899,0.95374216,0.95810846,0.81263119,0.32253609,0.26148453,0.30852203,0.31041912,0.31406232,0.30617007
57,0.95851055,0.93245495,0.93290333,0.7915495,0.31293418,0.25635188,0.29647289,0.31273474,0.30949263,0.29010361
58,0.93954388,0.91511809,0.92543919,0.77317252,0.3072417,0.25216809,0.29148913,0.30065921,0.29740152,0.28467052
59,0.91725513,0.8941211,0.90001149,0.75130612,0.29960906,0.24582531,0.27868417,0.28926729,0.2829978,0.28469717
60,0.89698766,0.86925597,0.87067363,0.73120393,0.2900036,0.24177571,0.27744028,0.28716672,0.28208266,0.27255849
61,0.87570629,0.85042505,0.8609285,0.70725836,0.28172233,0.23231104,0.26541571,0.28128972,0.27544058,0.27748021
62,0.85878644,0.83447644,0.8424779,0.6932222,0.27733741,0.22859598,0.25914751,0.27353683,0.27247186,0.25983498
63,0.84999086,0.81293419,0.81740278,0.67458274,0.27356351,0.22317163,0.2514633,0.26865609,0.26207508,0.25712589
64,0.82538617,0.79589819,0.79534836,0.65359488,0.26571198,0.21304966,0.25079285,0.25130346,0.25462752,0.25337355
65,0.80046034,0.77948128,0.78161546,0.64163551,0.25738164,0.21669983,0.23878903,0.2467175,0.24595187,0.24366496
66,0.79899245,0.76061044,0.76804941,0.62385406,0.25521908,0.20008982,0.23853326,0.24126564,0.24201084,0.23226679
67,0.77262775,0.74497309,0.74086999,0.61093108,0.2478176,0.20248264,0.22776954,0.24198493,0.23491965,0.22936468
68,0.75952489,0.72266951,0.72694583,0.59005927,0.24041517,0.19559651,0.22613946,0.23183925,0.22640212,0.2249734
69,0.7395018,0.7175208,0.71812128,0.57127649,0.2330281,0.19105749,0.22491713,0.22894478,0.22283525,0.22462144
70,0.72017672,0.69252316,0.69108691,0.5565808,0.22599256,0.18336029,0.21748005,0.22665783,0.21864297,0.2124772
71,0.70444871,0.67165681,0.68461692,0.54534743,0.22166902,0.18368236,0.20701581,0.21501286,0.21997441,0.20917872
72,0.6908439,0.67253357,0.66914842,0.53112258,0.22073554,0.17537921,0.2044531,0.21443318,0.20976081,0.20221123
73,0.67850005,0.64500118,0.65184046,0.52477444,0.21859482,0.17233002,0.19610788,0.20530315,0.20742937,0.19881311
74,0.65829506,0.63187937,0.63490352,0.50271471,0.20632656,0.16918887,0.20051694,0.19943634,0.19718849,0.19868955
75,0.64453607,0.61380777,0.62115983,0.48956091,0.20898009,0.15949547,0.18817878,0.19967611,0.19661223,0.18973751
76,0.62770019,0.60286201,0.60831196,0.47831794,0.19471762,0.15283825,0.1853439,0.19303817,0.18392179,0.18618769
77,0.61200307,0.59001154,0.59138682,0.46859491,0.19783102,0.15387332,0.17664793,0.18813376,0.18589618,0.18059848
78,0.60294969,0.58049664,0.58194023,0.45738595,0.19400844,0.15508783,0.17472876,0.19082172,0.17901516,0.17903612
79,0.58425151,0.56161018,0.56406256,0.44728271,0.18101659,0.15067418,0.17194471,0.17190686,0.1762395,0.17307494
80,0.5716708,0.54600833,0.55551627,0.42972572,0.18056552,0.14793596,0.16631165,0.17175067,0.17118575,0.16694981
81,0.55648006,0.54129878,0.5411933,0.42094471,0.17757056,0.13940695,0.16424407,0.16899294,0.16724888,0.16357573
82,0.55075877,0.52279912,0.53255221,0.41088744,0.17320903,0.13303325,0.16034575,0.16885473,0.16215707,0.16474467
83,0.53403036,0.50567917,0.51230296,0.40409739,0.16722477,0.1347754,0.15035766,0.15875779,0.15324776,0.15691382
84,0.52873872,0.50298546,0.49995633,0.38621022,0.16042738,0.1307816,0.15251284,0.16113167,0.15223535,0.15285369
85,0.50584218,0.4853749,0.48643438,0.3750981,0.15941933,0.13041885,0.14513948,0.15286402,0.14578746,0.14514267
86,0.49047645,0.47479912,0.47461815,0.37333027,0.15064973,0.12029646,0.14328154,0.14955294,0.15246333,0.14707438
87,0.48473933,0.46142512,0.46865909,0.35719398,0.15062547,0.11808901,0.14408758,0.14685494,0.14433712,0.14206025
88,0.47449138,0.45875688,0.46306992,0.34333957,0.1463554,0.12231384,0.13245762,0.14188144,0.14361792,0.14277088
89,0.46237376,0.44272815,0.44568833,0.34151948,0.14668438,0.11307563,0.13293704,0.13846357,0.13529913,0.1317538
90,0.45091115,0.42688025,0.43769948,0.32994972,0.13700356,0.11021322,0.13265927,0.13055244,0.12709388,0.13285863
91,0.44229943,0.4239386,0.42046399,0.32404905,0.13502559,0.10886041,0.12506647,0.13109142,0.13110243,0.12590416
92,0.42825862,0.41456608,0.42136495,0.30990664,0.13138079,0.10448299,0.12084098,0.13231851,0.12422438,0.12475272
93,0.42155982,0.39899503,0.40731224,0.30976256,0.12754577,0.10048544,0.11583476,0.12065783,0.12329204,0.11804432
94,0.41395692,0.39175543,0.39511051,0.30135723,0.119605,0.09746949,0.11419088,0.11884955,0.12256365,0.11718849
95,0.40092699,0.37908425,0.38987373,0.29050348,0.1173955,0.09791061,0.11521237,0.11648222,0.11709889,0.11387885
96,0.3913808,0.36517464,0.37922155,0.28829162,0.12184278,0.09618437,0.11166557,0.11722224,0.11233447,0.10973196
97,0.3748716,0.35818453,0.36453988,0.27662164,0.11468489,0.09455013,0.10224472,0.11113597,0.10923396,0.11004593
98,0.37637287,0.35958997,0.36657568,0.26483583,0.11017578,0.08843682,0.10302445,0.10869864,0.10257137,0.10160913
99,0.36304592,0.34316582,0.34763283,0.25591492,0.11069601,0.08322852,0.09902703,0.10773039,0.10591015,0.10327444
100,0.34926622,0.33877873,0.34627283,0.25059004,0.10100806,0.0796689,0.09470857,0.09762128,0.10158986,0.09744122
101,0.33950699,0.32392873,0.33360819,0.24901352,0.10298894,0.08132899,0.09795437,0.10330038,0.09529029,0.09538111
102,0.33401378,0.31584069,0.32396603,0.24365298,0.0998468,0.07714342,0.0919592,0.09618941,0.09758637,0.09171889
103,0.32891203,0.31249911,0.31952193,0.23601202,0.09330177,0.07625244,0.09003858,0.09323595,0.09159952,0.08850867
104,0.32201903,0.29912601,0.30567921,0.22903118,0.09182715,0.07185931,0.08445185,0.08954934,0.08792588,0.08839658
105,0.31022926,0.29760116,0.29965228,0.21869045,0.09150932,0.07470178,0.08282152,0.08890798,0.08661851,0.08632688
106,0.3063299,0.29285323,0.2949498,0.2174731,0.08796192,0.07199279,0.0803991,0.08553755,0.08571835,0.0833183
107,0.29723136,0.28363045,0.28730887,0.21350639,0.08132445,0.06538342,0.07629282,0.08214267,0.07897142,0.08115652
108,0.28702444,0.27413958,0.27698884,0.20322035,0.08095684,0.0680551,0.07811162,0.08170367,0.07724004,0.07889519
109,0.27995048,0.27409942,0.26435589,0.19645231,0.07837493,0.06209195,0.07450108,0.07759256,0.0746634,0.0738863
110,0.27492766,0.2599967,0.26398571,0.19685146,0.07579675,0.05911957,0.07328716,0.07409209,0.07678235,0.07535254
111,0.27080976,0.25617526,0.26008733,0.18886938,0.07444328,0.05760733,0.07132229,0.06806897,0.07147871,0.06841854
112,0.2637233,0.24812256,0.24711037,0.17999245,0.06966363,0.05560614,0.06718675,0.06723011,0.07019762,0.06578947
113,0.25236747,0.2396193,0.24378834,0.17503988,0.0695746,0.05170553,0.06637316,0.06890479,0.06688199,0.06512618
114,0.24866594,0.24681184,0.23911456,0.17410913,0.06175609,0.05023058,0.06102396,0.06682633,0.06381334,0.06151981
115,0.24319271,0.23142595,0.22852283,0.16146714,0.06303485,0.04965227,0.06034679,0.06530116,0.06508347,0.06424562
116,0.23215806,0.2196719,0.22540002,0.16269191,0.05729218,0.0452906,0.05897828,0.06316316,0.06355325,0.0580166
117,0.22764443,0.21585509,0.22186202,0.15625701,0.06163365,0.0453552,0.05649051,0.06022973,0.05870075,0.0589777
118,0.2214985,0.20931181,0.21477528,0.14967219,0.0576156,0.04183942,0.05460304,0.05608626,0.05674884,0.05569301
119,0.21626258,0.20251612,0.20316695,0.15034571,0.05577423,0.04344875,0.05424355,0.05442011,0.05613294,0.05250504
120,0.21103411,0.19549713,0.2026117,0.1460674,0.05344469,0.04361975,0.05147306,0.05389735,0.05431734,0.05099176
121,0.20357219,0.19495245,0.19771257,0.13965585,0.05178338,0.03817311,0.05100991,0.05291195,0.0518297,0.04818812
122,0.196697,0.18917934,0.18928673,0.12995169,0.05031009,0.04106964,0.04614982,0.05085925,0.05033788,0.0503688
123,0.19087399,0.18426322,0.18597408,0.12892857,0.04687242,0.03540154,0.04457224,0.05068712,0.04957377,0.04610814
124,0.18619049,0.18150871,0.17686876,0.124081,0.0475266,0.03382453,0.04240211,0.04679925,0.04376837,0.04408393
125,0.18486572,0.17319031,0.17402333,0.12307576,0.04657907,0.0349302,0.04170975,0.04671415,0.04310259,0.04406841
126,0.1718141,0.16569192,0.16543512,0.11778363,0.04246784,0.03092843,0.03921366,0.04242078,0.04094575,0.0409549
127,0.17542189,0.15960101,0.15920546,0.11563252,0.04095942,0.03345933,0.03718456,0.04055234,0.04255968,0.04098306
128,0.16973771,0.15814057,0.16454692,0.10894656,0.037785,0.02970374,0.03709829,0.03954653,0.04216412,0.0388516
129,0.16084277,0.15991199,0.15617984,0.10939434,0.03705455,0.02845416,0.03444308,0.03630777,0.03885704,0.03716624
130,0.15641899,0.15013268,0.15086671,0.10025822,0.03654667,0.02718942,0.03365521,0.03524243,0.03452075,0.03388386
131,0.14968487,0.14438972,0.14533902,0.09916593,0.03602037,0.02603487,0.03500617,0.03404606,0.03357616,0.03360925
132,0.14945991,0.13900438,0.13841872,0.0976298,0.03077181,0.02840074,0.03407823,0.03221967,0.03180944,0.03153831
133,0.14093255,0.13823726,0.136104,0.09419196,0.030049,0.02704659,0.02975387,0.03238214,0.03450132,0.03172363
134,0.13820806,0.13339001,0.13227869,0.08935538,0.03093229,0.02464315,0.03071138,0.02911339,0.03199435,0.03083883
135,0.13579931,0.12565731,0.1258064,0.08514699,0.0305523,0.02265684,0.02889259,0.03031353,0.03072152,0.02932313
136,0.13549725,0.12401502,0.12544776,0.08395807,0.02774228,0.02157625,0.02933238,0.02876261,0.02727002,0.0280111
137,0.12947439,0.11976709,0.12163321,0.08203127,0.02784614,0.02041656,0.02759728,0.02926898,0.0288639,0.0294817
138,0.12429176,0.11425479,0.11956842,0.07893222,0.02578714,0.01912097,0.02606997,0.02665691,0.02627315,0.02502283
139,0.11787042,0.11372578,0.11289238,0.07292384,0.0253779,0.02048331,0.02380085,0.02473592,0.02590238,0.02291339
140,0.11753555,0.10790663,0.11112991,0.07636103,0.02347079,0.02049089,0.02345973,0.02632534,0.02337125,0.023488
141,0.11349176,0.10296802,0.10897913,0.07047914,0.02127328,0.01563685,0.02218246,0.02491247,0.02265757,0.02050947
142,0.1101951,0.10102143,0.1058336,0.0695684,0.02186825,0.01543028,0.02116242,0.02315733,0.02247319,0.01972066
143,0.10981968,0.09713722,0.09942302,0.06198954,0.02181269,0.01788067,0.01955619,0.02288093,0.0222653,0.0196662
