epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
49,1.06490815,0.74091573,0.59437424,0.24918453,0.20706342,0.25298938,0.25747022,0.25964514,0.26197025,0.26370343
50,1.06094176,0.73057653,0.58689028,0.24384935,0.19922168,0.2525344,0.25893917,0.25855922,0.26259621,0.26844976
51,1.05721108,0.72682029,0.58066097,0.24024725,0.19726943,0.24555428,0.24832529,0.24929795,0.25304493,0.2572352
52,1.04973228,0.7188585,0.5712754,0.23326571,0.1908089,0.24439017,0.2442811,0.24364439,0.25092673,0.25193122
53,1.05017665,0.71547195,0.56647368,0.22848002,0.19121654,0.234141,0.2389519,0.24331113,0.24508017,0.24686657
54,1.04439321,0.70344234,0.56167401,0.22880795,0.18008963,0.23079016,0.23818765,0.23670396,0.24293119,0.24377511
55,1.03394438,0.69782269,0.55186082,0.22214102,0.17736451,0.22624372,0.22587572,0.23405789,0.24106414,0.2395909
56,1.03790387,0.69413058,0.55070316,0.21780837,0.17605743,0.22556574,0.23144353,0.22299713,0.23116887,0.23323429
57,1.02611165,0.68303984,0.53754295,0.20807897,0.16711228,0.2182426,0.21884038,0.22068363,0.22761678,0.22725366
58,1.02230504,0.68194847,0.53557782,0.20702252,0.16946039,0.21524512,0.21817343,0.21979035,0.22457793,0.22539106
59,1.02289714,0.67363828,0.53121162,0.20108247,0.16119601,0.21339211,0.21285687,0.217438,0.22155382,0.22184822
60,1.01746785,0.67036684,0.52958102,0.19995417,0.15886618,0.2083431,0.21321926,0.21106427,0.2149475,0.21641145
61,1.01512763,0.66657542,0.52424811,0.19653194,0.15827693,0.20406306,0.20380315,0.21144253,0.21068043,0.21519066
62,1.00971543,0.66073143,0.52170766,0.19550092,0.15556247,0.20054659,0.20258958,0.20600996,0.21535349,0.21257793
63,1.0085764,0.65960561,0.51421136,0.18611501,0.15025174,0.19373153,0.19942657,0.20425234,0.2054471,0.2048154
64,1.00107172,0.64982531,0.50799274,0.18396629,0.14481873,0.18971919,0.19600203,0.19195746,0.19927526,0.19796155
