epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
50,1.07808289,0.77864498,0.59916146,0.33050493,0.26941278,0.22722237,0.24671016,0.25769175,0.26036738,0.2633741
51,1.07546625,0.77549492,0.59912345,0.32063122,0.25937063,0.22038781,0.24095263,0.25062872,0.25344533,0.25608671
52,1.06838013,0.76889039,0.59171151,0.31526891,0.25590488,0.21801463,0.23701481,0.24606136,0.25090206,0.24930151
53,1.06704086,0.76370696,0.58429516,0.31240297,0.24929576,0.20916842,0.22988312,0.24422177,0.24139067,0.24740916
54,1.06554518,0.75652766,0.57956458,0.30695241,0.24433637,0.20295462,0.23044062,0.24085281,0.23721657,0.24110999
55,1.05870709,0.74795711,0.57357905,0.30175444,0.2432751,0.20044436,0.22561821,0.22870217,0.23436478,0.2410989
56,1.05989109,0.74739003,0.56932356,0.29275873,0.2363702,0.20056678,0.21728293,0.23233684,0.23053222,0.2337373
57,1.04906317,0.73266738,0.55985481,0.28845653,0.23443329,0.19251336,0.21142927,0.22479937,0.22118549,0.22681456
58,1.04877978,0.73102175,0.55277972,0.28819475,0.22703436,0.19059251,0.21054537,0.22061803,0.21687673,0.22218138
59,1.0477814,0.7252331,0.55082399,0.2801138,0.22334147,0.18527312,0.19919019,0.21224575,0.21775018,0.21485009
60,1.04522601,0.72043899,0.54865409,0.27974616,0.22319601,0.18252129,0.1999947,0.21630447,0.21116663,0.22220316
61,1.04382311,0.71799242,0.5428043,0.27047962,0.2143149,0.17940533,0.19317819,0.20533874,0.20547202,0.21245087
62,1.03888376,0.71229692,0.54046773,0.2674543,0.2122993,0.17659641,0.19530716,0.20697525,0.19922111,0.20968563
63,1.03588096,0.71181752,0.5311106,0.26434878,0.20992555,0.17281598,0.18664889,0.20248387,0.20425242,0.20387789
64,1.03097672,0.70322455,0.52998549,0.26231195,0.20095743,0.17499537,0.18439041,0.20213567,0.19760867,0.20002078
65,1.03001137,0.69882208,0.52279235,0.25680037,0.20009186,0.16395735,0.18200322,0.19474184,0.19771585,0.20103962
66,1.0279052,0.69349651,0.52198639,0.25347023,0.19729003,0.15767658,0.17642877,0.19244107,0.19224723,0.19384521
67,1.02336653,0.68578353,0.51336358,0.24247698,0.18962727,0.15479747,0.17513091,0.18947487,0.18477849,0.19077443
68,1.02387185,0.68540948,0.51311196,0.24275392,0.1934634,0.15402063,0.17818586,0.18458007,0.18655491,0.19074193
